No Minat Grup Riset,No Dosen,No Grup Riset 1,Persentase Grup Riset 1,No Grup Riset 2,Persentase Grup Riset 2
1,1,2,66,4,33
2,2,4,66,5,14
3,3,4,56,1,25
4,4,1,45,3,9
5,5,1,45,4,31
6,6,5,35,1,29
7,7,1,100,1,100
8,8,4,36,3,26
9,9,1,38,4,28
10,10,4,40,3,20
11,13,4,50,1,31
12,14,4,44,1,26
13,15,3,32,4,20
14,17,4,47,2,23
15,19,4,70,1,11
16,21,4,46,1,33
17,22,1,55,4,38
18,23,4,51,5,25
19,24,4,41,2,29
20,25,4,48,1,32
21,26,4,68,1,20
22,27,4,42,1,25
23,28,4,42,1,38
24,29,1,50,5,33
25,30,4,44,2,27
26,33,4,75,5,12
27,34,4,66,1,22
28,35,4,40,1,34
29,36,4,40,1,30
30,37,1,59,4,29
31,38,4,39,1,24
32,39,1,54,4,27
33,40,4,34,1,31
34,41,4,45,1,25
35,42,1,80,4,20
36,43,1,40,3,13
37,44,5,46,4,26
38,45,4,72,3,18
39,46,4,46,1,33
40,47,3,66,5,33
41,48,5,40,2,13
42,50,4,31,1,26
43,51,4,48,3,28
44,53,4,100,4,100
45,54,1,51,4,42
46,55,4,36,1,19
47,56,1,52,4,25
48,57,4,44,1,22
49,59,4,38,1,33
50,60,4,100,4,100
51,61,4,53,1,26
52,62,3,40,4,16
53,63,4,62,1,17
54,64,3,47,4,23
55,65,2,33,2,33
56,66,3,42,4,23
57,67,5,39,4,31
58,69,2,40,3,20
59,70,4,45,1,31
60,71,4,57,1,21
61,72,1,54,3,18
62,73,4,46,1,34
63,74,4,45,2,28
64,75,4,47,1,29
65,77,4,48,1,27
