No Judul,No Dosen,No Bidang,Judul,Nilai Prediksi
1,1,28,Desain Data Center Berbasis Hyper Converged Infrastructure Dengan Standar Tia-942 Untuk Green Campus,4.148014778434335e-25
2,1,14,Standarisasi Infrastruktur Jaringan Komputer Sekolah Berbasis Cisco Safe Concept Untuk Menunjang Sistem Informasi Sekolah,1.0682860375158909e-30
3,1,16,Desain dan Implementasi Tools System Administrator dengan Protokol SSH,5.5666457775083066e-43
4,2,31,Penggunaan Algoritma Multi Criteria Decision Making dengan Metode Topsis dalam Penempatan Karyawan,1.933209662170025e-29
5,2,31,Sistem Pendukung Keputusan Penentuan Lokasi Pembangunan Peternakan Ayam Menggunakan Metode MOORA,7.781784636273913e-44
6,2,33,Sistem Pelayanan Kesehatan Terpadu Berbasis IOT Pada Fasilitas Kesehatan,4.046903826966767e-45
7,2,7,Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,3.416041323490395e-69
8,2,31,Komparasi Algoritma Multi Criteria Decision Making Dengan Metode AHP dan SAW dalam perangkingan calon karyawan,1.6580835338283396e-34
9,2,34,Smart Grid Untuk Efisiensi Konsumsi Listrik Pada Proses Produksi Di Industri Manufaktur,2.568816935042764e-22
10,2,30,Sistem Informasi Peramalan Jumlah Pengunjung Menggunakan Metode Double Exponential Smoothing Studi Kasus Body Gym Kota Malang,4.581953646322369e-64
11,2,31,Perbandingan Metode TOPSIS dan SAW dalam Penempatan Karyawan,1.5187968738317738e-19
12,2,34,Perancangan User Interface Sistem Informasi Alumni Menggunakan Metode Webuse Dan User Centered Design,4.171467209989222e-52
13,2,37,PERANCANGAN DAN PEMBUATAN VIRTUAL LABORATORIUM GRAYSCALE MORPHOLOGY UNTUK MATA KULIAH PENGOLAHAN CITRA,5.0083798187069785e-56
14,2,37,PENGEMBANGAN VIRTUAL LAB MATA KULIAH PENGOLAHAN CITRA PADA BAB GRAYSCALE MORPHOLOGY,3.590862000975039e-50
15,2,25,Implementasi Sistem Pendeteksi Tingkat Kematangan Buah Pepaya Menggunakan Metode RGB,7.921064288411727e-38
16,2,30,Analisis Peramalan Peluang Bisnis Tanah Menggunakan Metode Double Exponential Smoothing,6.707722471264674e-54
17,2,25,Identifikasi Kualitas Strawberry Berdasarkan Warna dan Tekstur Dengan Menggunakan Gray Level Co-Occurrence Matrix dan Naive Bayes,1.0822663472264548e-50
18,2,30,PERAMALAN DAERAH RAWAN KRIMINALITAS YANG ADA DI WILAYAH BATU MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING BERBASIS GIS STUDI KASUS KECAMATAN BATU,8.896842765797086e-109
19,2,37,PEMBUATAN APLIKASI PELAYANAN LAUNDRY BERBASIS ANDROID STUDI KASUS DI BERSIH LAUNDRY,4.9131241633968667e-57
20,2,30,SISTEM INFORMASI BODY GYM KOTA MALANG DENGAN PERAMALAN JUMLAH PENGUNJUNG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,9.969174323858832e-51
21,2,30,ANALISIS PERAMALAN TERHADAP PELUANG BISNIS TANAH UNTUK PT JNF DI KOTA MALANG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,8.660226932006782e-82
22,2,30,PERBANDINGAN METODE FTS DAN MA PADA PERAMALAN PERSEDIAAN BERAS,1.3678112778394704e-37
23,2,5,SPKK Penyakit Paru-Paru Guna Membantu Proses Anamnesa Berbasis Mobile,1.9596690245459647e-39
24,2,30,Perbandingan Metode FTS Dan MA pada Peramalan Persediaan Beras di Kabupaten Malang,8.42063087787217e-27
25,3,5,Pembuatan Sistem Pakar Diagnosa Penyakit Pada Burung Puyuh Dengan Menggunakan Metode Forward Chaining,6.628674113827251e-22
26,3,9,Desain Sistem Smart Attendance Menggunakan Kombinasi Smart Card Dan Sidik Jari,5.165473734972792e-39
27,3,30,Sistem Informasi Peramalan Penjualan Barang Dengan Metode Double Exponential Smoothing Studi Kasus Istana Sayur,1.6900080410208067e-55
28,3,17,Seleksi Notifikasi Serangan Berbasis Ids Snort Menggunakan Metode K-Means,3.20408746948909e-28
29,3,7,Implementasi Naive Bayes Dan Pos Tagging Menggunakan Metode Hidden Markov Model Viterbi Pada Analisa Sentimen Terhadap Akun Twitter Presiden Joko Widodo Di Saat Pandemi COVID-19,2.552992446394829e-95
30,3,31,Rancang Bangun Sistem Pendukung Keputusan Kelayakan Pemberian Kredit Menggunakan Metode Profile Matching,5.610647535350187e-29
31,3,31,SISTEM PENDUKUNG KEPUTUSAN SOLUSI KELAYAKAN PENERIMA BANTUAN BEDAH RUMAH MENGGUNAKAN METODE PROFILE MATCHING,1.0850844297618074e-54
32,3,11,Pengembangan Sistem Otomatisasi AC dan Lampu Menggunakan Fuzzy dan Raspberry Pi,2.0684419892504667e-70
