Judul,Skalabilitas dan Analitik Data,Penerapan Kecerdasan Buatan,Penerapan Data Besar,Penerapan Information Retrieval,Penerapan Sistem Pakar,Penerapan Penambangan Data,Penerapan Penambangan Teks,Penerapan Intelijen Bisnis,Penerapan Smart Living,Penerapan Komputasi Awan,Penerapan IoT,Penerapan Keamanan Data,Penerapan Keamanan Cyber,Penerapan Virtualisasi Jaringan,Penerapan Teknologi Jaringan,Penerapan Teknologi Nirkabel,Penerapan IT Forensik pada Jaringan,Penerapan Enkripsi,Penerapan Pengenalan Pola,Penerapan Watermarking pada Citra,Penerapan Kompresi Citra,Penerapan Pengolahan Citra,Penerapan Transformasi Citra,Penerapan Filtering Citra,Penerapan Morfologi Citra Digital,Integrasi Sistem dan Arsitektur,Penerapan Manajemen Informasi,Penerapan Sistem Informasi Geografis,Penerapan Global Professional Practice,Penerapan Sistem Peramalan,Penerapan Sistem Pendukung Keputusan,Penerapan Bisnis Elektronik Sistem Informasi,Penerapan Customer Relationship Management,Penerapan Pembelajaran Elektronik pada Sistem Informasi,Computational Thinking,Pengembangan Game,Multimedia,Penerapan Augmented Reality
Pengembangan Personal Data Analitik Menggunakan PHP-ML dan Apache Spark pada IoT Cloud Apps,4.114338071645368e-22,1.8815183284365417e-23,1.9701847372873785e-22,1.297407106610792e-23,1.723819569594979e-23,7.534123322143941e-22,9.504513578611607e-23,8.088987411814543e-23,1.0055866621807632e-22,1.160212883804323e-20,2.889956072243705e-22,3.8162208462099618e-22,4.312082858471362e-22,7.87256143175813e-22,2.9089209582579444e-22,9.920870413846962e-23,1.0717606914025351e-22,9.466680167637287e-22,2.5617866891521858e-23,2.6367030307677518e-23,2.3528540372352528e-23,7.291062116354397e-24,6.72742411164812e-24,7.619186845760476e-24,1.876995084017476e-23,1.4885220311502405e-22,5.724894894866267e-23,1.3430659628704442e-23,2.790519052572148e-23,8.903593343164337e-23,5.88982674215675e-24,4.381956162501751e-23,2.658252764072155e-22,1.8810844133991754e-22,2.78748543141568e-23,2.4224227050485365e-22,1.6750073910421142e-22,1.620201523409994e-23
 ANALISIS DAN PENERAPAN ALGORITHMA C45 DALAM DATA MINING UNTUK MENUNJANG STRATEGI PROMOSI PRODI INFORMATIKA UPGRIS,2.380356148194243e-32,4.2811613477470184e-32,4.1128705822342876e-29,2.9220318053372805e-32,1.2534424598393779e-34,9.085593142208816e-30,3.0652435914295477e-31,5.11362811246689e-32,3.581610675679344e-32,8.32464674109536e-33,4.888782092430688e-34,1.7056691890186254e-32,4.705794103310395e-31,9.246007950961773e-33,3.2508539515942975e-32,7.292510199166131e-32,1.3194591390523132e-32,1.7102988807506e-32,5.490601990183703e-32,1.9283629071388095e-33,1.3862616849053211e-33,1.2942801570225625e-33,4.603803748804095e-34,1.2266774502941563e-33,2.951487637620943e-34,5.238907020069098e-33,8.289872531818743e-32,2.1770962425720195e-34,2.0928820003061446e-32,2.950161679883044e-33,7.230538241465991e-33,2.790832788967771e-32,1.0466814954278442e-31,7.804861484926311e-33,1.6215442414361945e-32,2.3324339032612485e-33,8.038713184498912e-33,3.578515049838072e-33
Model data warehouse dengan service oriented architecture untuk menunjang sistem informasi eksekutif,6.67996729968119e-35,1.2862920382287717e-36,1.0427660594816592e-35,2.1654636827381905e-35,7.627949305387274e-37,3.3305866103525627e-35,6.588330348274681e-36,3.297549111175152e-34,1.8092730478822995e-36,6.55463399127096e-35,8.154056755521767e-37,5.549923827064743e-35,3.0796129851740253e-35,5.7090086620692395e-36,4.716565269196576e-36,1.9971098569319178e-35,2.710957811346329e-35,2.5958720186580993e-35,7.217123710943027e-37,1.7250933703029962e-37,1.0775894500464684e-37,1.1533878437648204e-37,1.6876947321301702e-37,6.117839926129217e-38,6.971880867678479e-37,6.173081466616572e-31,2.1054899912394527e-33,2.563176615116903e-34,1.0406167819993593e-35,3.141166249470114e-36,1.987415866604795e-36,1.2236145975259765e-34,6.920112991738948e-35,1.6670639518580452e-35,7.412905974794438e-38,4.239834204510111e-38,2.3363591663265228e-36,7.774559027735088e-37
Rancangan dan Pembuatan Data Warehouse untuk Kebutuhan Sistem Pendukung Keputusan Studi Kasus Departemen Marketing dan Komunikasi Universitas Dr …,1.9648416346615566e-51,4.203564723037873e-53,7.793833108289176e-51,1.0663784996367336e-52,3.516112173651183e-54,1.3247834328134082e-50,5.253167409678896e-54,1.4705402455330603e-50,1.4625370703897865e-51,2.5253282849966985e-51,1.1429048013019733e-52,9.33409455517715e-52,3.5911733522995787e-51,2.1706293237805842e-51,4.860136919227123e-51,6.558630516935759e-52,5.557244943040065e-53,4.204136140263801e-53,9.18198556616423e-54,4.469550688197643e-55,3.0577720634364444e-54,6.664609788414268e-56,7.754246588102459e-55,3.7535910486511584e-56,2.0882499069230382e-54,6.155393442750833e-50,8.72945426886633e-50,1.7399509807558376e-52,7.818399582084845e-52,1.1218838992317673e-51,3.188363059315621e-48,8.95914356789644e-51,2.257365156022183e-52,5.240440816309876e-51,8.48939037135466e-54,1.5121725377378265e-54,1.134940105382604e-50,2.6784446453492344e-52
Analisis Simulasi Sistem Penunjang Keputusan Model Matematis Dengan Pendekatan Goodness-of Fit Berbasis Structural Equation Model,1.5246703463945014e-28,1.3164729405043506e-32,1.1400854384485689e-33,1.8223772845599685e-30,1.8394663613819755e-32,1.8800003203946865e-32,2.5394784836919682e-31,4.951528489632802e-30,4.4070558838986866e-32,6.849836687090627e-31,4.240427599688105e-32,1.7583639208887736e-32,1.8647088255697995e-31,4.88701948955893e-31,1.2412173227490706e-32,1.2168009321128807e-31,1.8307464914362306e-30,6.98258428665036e-33,3.140249517199273e-32,1.0743653867914842e-32,8.361379443425972e-34,9.790650143995452e-33,6.092010690395566e-33,5.859850340568873e-34,3.037910780914415e-32,1.5766852356709085e-30,8.416928800989291e-31,1.6678114714246065e-30,5.3348196527018776e-30,2.3738457052126293e-32,2.7245661161512347e-30,1.3880736005894785e-30,1.5598511746141513e-30,2.990904739918055e-30,1.6330800693367363e-33,4.705901812434525e-33,1.0289376110378587e-30,4.353672625918154e-32
Visualisasi Peta Rss Fingerprint Dalam Fase Offline Pada Localization Di Lantai 3 Gedung Teknik Elektro UGM Menggunakan Wlan,2.6470252265310725e-38,3.728659272958656e-41,5.854160008023235e-41,2.293899238150566e-40,8.230246567940747e-42,2.5967476438558584e-41,8.947030910224789e-42,1.6716767128889685e-41,6.359241623273782e-42,2.102691842487038e-41,5.842205757139024e-41,3.6544242616548357e-41,2.365643718166121e-41,2.0686854586408664e-41,1.6563132649382176e-40,2.7488205906837855e-40,1.2022247606680228e-40,6.270788722542741e-41,1.1737305244024284e-40,6.16821209792798e-41,1.200020502133591e-40,3.816937839023493e-41,3.9461806961980773e-41,1.6776883546579495e-41,3.0982330728151256e-41,1.7206336311185872e-41,1.8603912581158624e-40,2.760704293332698e-41,6.650343567626868e-41,6.362662849987218e-41,1.0464860224013814e-41,2.000940265130227e-40,1.674450083127758e-41,1.8358690997063853e-40,1.2838201750660578e-40,9.917315595879644e-41,8.232516055069525e-40,5.33460609788857e-40
Pengembangan Infrastruktur Analisis Data Heart Rate berbasis Microservices menggunakan Kubernetes,3.422944084896695e-21,2.52678600071208e-22,3.4279203950862924e-22,2.7558702818029597e-22,1.0651973588133908e-22,2.5213852036869282e-21,3.5499201840587e-21,6.9609147096060325e-22,1.528553398189438e-21,2.757433874322261e-20,5.54945180288714e-23,2.3279194360840866e-21,1.0364407752755869e-21,1.890780816991714e-21,1.315845386134013e-20,1.3828101861949513e-21,3.6959738522643645e-21,4.156033188804683e-21,2.5376184330581596e-22,4.718928823766255e-22,1.3700147369620304e-22,1.5577805245534546e-22,3.659306816143157e-23,3.4438197638419515e-23,2.727085613824442e-22,8.667333743168571e-22,9.003776415708139e-22,1.923023762773165e-22,7.793904076707845e-22,3.5254595364925264e-22,3.429515519111983e-23,1.370423116755097e-21,4.348734302059784e-21,1.9197448489094655e-21,1.5022779061955043e-22,6.758984628716242e-21,3.2658370965894283e-21,5.041712522468386e-22
Perbandingan Kinerja Algoritma Nbc Svm C 45 Dan Nearest Neighbor Kasus Prediksi Status Resiko Pembiayaan Di Bank Syariah,5.948754493599609e-50,8.322093921375885e-50,2.127058249411801e-48,1.4737973300340873e-49,2.914989466392038e-52,4.533464549467967e-49,4.407180514114152e-47,2.4638788965645522e-48,6.5075292473343915e-52,1.9252113801062527e-49,3.826105952184057e-51,1.8246629047139505e-50,7.089961710496995e-50,2.3971763242219454e-49,1.648805395016382e-49,6.3379440333972065e-52,8.047567290756019e-52,6.84094679626211e-51,3.052947202599207e-50,5.1964416803336025e-51,5.416471445056593e-50,1.682400166308019e-50,1.9209554377471274e-50,2.1420547457835937e-51,6.297186663177451e-51,4.7481666166891867e-51,1.0056552209246067e-49,1.2240964425327353e-50,1.0174723611557879e-50,1.5228474641376965e-50,1.1579718298184317e-51,2.765713823791704e-51,2.8160999160871817e-52,7.392603865940006e-52,3.2789819436560395e-51,1.4042779444480305e-51,6.677069316060777e-50,1.380226529501343e-51
 Materi Perkuliahan Transformasi Digital,8.763871444130419e-17,3.2241731336346763e-16,1.0171832732228657e-16,1.0549763811646882e-16,1.1345752140492787e-16,1.0535363003216707e-16,1.0126820460008509e-15,9.952453074418465e-17,1.0330070477913854e-16,9.757099515709204e-17,2.9185787035918204e-16,3.569245846570249e-16,1.0184257124004259e-16,1.0754292301478211e-16,1.0113450723178586e-16,9.804243741553775e-17,7.751784243920251e-16,8.371720938614304e-16,9.122895063983857e-17,9.634342085524655e-15,3.928597983844911e-15,9.733454099823782e-15,1.3095420769657467e-13,1.5355171661794566e-15,4.620215449107285e-15,2.1333223185165275e-16,1.9588024205835794e-16,3.352160044704396e-16,6.212147911111096e-16,1.0609890691427063e-16,9.700790989659586e-17,1.0428537236414576e-16,2.658226957514808e-16,2.0195434025584193e-15,5.738782194889527e-16,2.45325299736632e-15,1.4461371508421356e-15,1.0886412293911995e-16
Keamanan IoT Dengan Deep Learning dan Teknologi Big Data,1.8629605959746038e-21,1.8815183284365414e-23,1.9701847372873787e-22,1.141256363155637e-22,7.44975063529945e-24,4.422222801205965e-22,8.74657556520093e-23,6.272191186432125e-22,1.0684880365611163e-22,2.835518914582053e-21,5.803911606601918e-21,1.5434059860612645e-20,1.3368732930874906e-20,1.1139688471338086e-21,1.6838215527355436e-20,1.197788702904588e-20,1.014487602786316e-21,4.5382270109062694e-21,1.9974559294850536e-22,5.78016885070465e-23,2.3528540372352528e-23,6.82903859399543e-23,9.971885991066579e-23,1.622433301088509e-23,1.0788704961843055e-22,1.110748449352333e-22,2.29944876378173e-22,2.85993110266332e-23,1.6509681586709036e-22,1.0386355870477507e-22,5.88982674215675e-24,4.917371900445128e-22,1.7671391598886358e-23,2.8776326388109885e-21,1.5225672309179144e-23,1.4141643652294587e-23,1.4701551832526932e-22,1.0189837158970073e-22
