No Dosen,Nama Dosen,No Judul,Judul,Skalabilitas dan Analitik Data,Penerapan Kecerdasan Buatan,Penerapan Data Besar,Penerapan Information Retrieval,Penerapan Sistem Pakar,Penerapan Penambangan Data,Penerapan Penambangan Teks,Penerapan Intelijen Bisnis,Penerapan Smart Living,Penerapan Komputasi Awan,Penerapan IoT,Penerapan Keamanan Data,Penerapan Keamanan Cyber,Penerapan Virtualisasi Jaringan,Penerapan Teknologi Jaringan,Penerapan Teknologi Nirkabel,Penerapan IT Forensik pada Jaringan,Penerapan Enkripsi,Penerapan Pengenalan Pola,Penerapan Watermarking pada Citra,Penerapan Kompresi Citra,Penerapan Pengolahan Citra,Penerapan Transformasi Citra,Penerapan Filtering Citra,Penerapan Morfologi Citra Digital,Integrasi Sistem dan Arsitektur,Penerapan Manajemen Informasi,Penerapan Sistem Informasi Geografis,Penerapan Global Professional Practice,Penerapan Sistem Peramalan,Penerapan Sistem Pendukung Keputusan,Penerapan Bisnis Elektronik Sistem Informasi,Penerapan Customer Relationship Management,Penerapan Pembelajaran Elektronik pada Sistem Informasi,Computational Thinking,Pengembangan Game,Multimedia,Penerapan Augmented Reality
1,"Ade Ismail, S.Kom., M.TI",1,Desain Data Center Berbasis Hyper Converged Infrastructure Dengan Standar Tia-942 Untuk Green Campus,9.684998508748495e-28,5.4072885141024156e-27,2.0260106514595882e-26,4.252934046737533e-27,4.586326330937217e-27,1.9614980926937002e-26,8.922115580866462e-27,4.646991579596803e-27,7.993048782969536e-27,2.0028564239490816e-25,6.411608143651381e-26,2.568751628597294e-25,1.6416245364324942e-26,7.984769910964988e-26,1.8333049200865503e-25,3.159959833291882e-26,2.806384787546437e-27,6.769918930045058e-26,1.2191551369695738e-27,8.066364343833858e-27,1.6620670942189615e-26,1.1088021193548056e-27,1.5153248330736535e-27,7.3073762519512375e-28,7.41207743817957e-27,2.2071273001061716e-26,8.723839270407508e-26,4.148014778434335e-25,1.2936996099650868e-26,1.926512453382217e-26,4.1092451287580685e-27,1.4807764097539045e-26,2.0477292899231974e-26,2.309695110059773e-26,8.782982581519295e-28,7.647701972568955e-27,6.165047913198839e-26,2.5771105565636177e-26
1,"Ade Ismail, S.Kom., M.TI",2,Standarisasi Infrastruktur Jaringan Komputer Sekolah Berbasis Cisco Safe Concept Untuk Menunjang Sistem Informasi Sekolah,2.2798402891348454e-34,2.947073394206083e-34,1.0744247688973043e-33,3.8736970956947695e-33,2.3935208013229445e-34,4.241457793927483e-34,9.480231423428752e-34,1.0388955218310287e-34,6.451129625440755e-33,1.2105002372925838e-32,4.912088471902942e-33,2.184494452761907e-33,3.302603263915634e-33,1.0682860375158909e-30,1.5658020763665925e-31,5.484110478592625e-33,3.5460874846278433e-32,3.169118977831639e-34,3.8476205446943894e-34,9.79409711333976e-35,2.4434852956137972e-34,2.489607741573706e-34,7.967096638849082e-35,8.205856772373708e-35,3.5383391263952123e-34,1.066734589772911e-33,1.0841556253413327e-33,9.784492089290204e-31,3.97311503004787e-33,8.725444262673065e-34,7.392232073002832e-33,4.006232708840133e-34,1.9047183861152358e-33,3.5648765706449056e-31,9.560247723767811e-32,9.137769947422163e-34,6.583024325152448e-31,7.494970822673763e-31
1,"Ade Ismail, S.Kom., M.TI",3,Desain dan Implementasi Tools System Administrator dengan Protokol SSH,4.807751668749142e-46,3.444760094146249e-45,6.380248833117515e-47,6.405675723354608e-44,9.68250572145824e-45,3.8601434832922184e-46,3.6377697193563475e-45,2.3826905327447484e-44,3.380664405188123e-46,7.382882515243124e-46,3.4466784103612003e-44,1.519172582293429e-44,9.73683406708663e-45,2.9107349009417963e-45,3.8075624734003005e-46,5.5666457775083066e-43,1.5472411433863153e-45,4.196958728714305e-45,4.654710193896971e-47,1.8020853554319095e-46,1.309177675725015e-45,3.024597836364603e-44,5.558818202127436e-46,4.383638415786401e-46,4.3449638007420094e-46,4.816288671051178e-46,2.4758280143294642e-45,2.55976592677666e-43,2.606764286507323e-45,6.027421354646224e-46,6.42745395929369e-44,1.8198501197718202e-44,2.2852671556592366e-44,5.680324502395747e-44,2.316307528714301e-46,7.20732054005011e-46,4.3695695828179646e-44,4.040284978699275e-46
2,"Agung Nugroho Pramudhita, S.T., M.T.",4,Penggunaan Algoritma Multi Criteria Decision Making dengan Metode Topsis dalam Penempatan Karyawan,4.1216697112803995e-35,4.710803521160206e-33,9.93066001641477e-32,2.6148444309124988e-33,2.8751273523911178e-33,2.5351282210713e-31,2.787156735811203e-33,1.3667835878147453e-33,4.784450317714992e-35,6.878571753673657e-36,7.798573379149009e-35,7.681421489253579e-33,6.023695259246815e-34,2.049797805926631e-34,2.1601707012353577e-33,5.76772406704658e-34,4.645415940236727e-34,6.58772188092853e-33,5.102627712187101e-34,1.7540550363894913e-33,2.636454992932721e-32,1.9615133840935065e-33,5.032608251034414e-33,7.636212634605987e-33,9.088531362024633e-34,1.558194803141146e-35,1.2750100943929529e-34,3.1641227542379424e-33,2.6506987683154348e-34,8.282919188637132e-34,1.933209662170025e-29,7.644705293358476e-35,3.5759564740878606e-35,6.609563365096075e-34,3.583790888386611e-35,9.238241985023629e-35,1.0627913554664797e-33,3.5561456893744556e-34
2,"Agung Nugroho Pramudhita, S.T., M.T.",5,Sistem Pendukung Keputusan Penentuan Lokasi Pembangunan Peternakan Ayam Menggunakan Metode MOORA,1.602890121031057e-58,4.186581755785353e-57,4.0006982740436466e-54,1.4327631637623187e-56,2.075810334955618e-54,6.328793736751819e-56,2.0354969393258123e-57,1.1879862187630915e-59,4.117581539072495e-58,6.316472527900783e-59,8.321686287969908e-58,1.0342603133618757e-56,6.9057348345983685e-59,3.266937088482216e-58,1.3749088544882806e-58,1.3661373817480329e-58,3.9111974836685837e-59,3.6388754812292737e-57,9.062906318771712e-57,1.0295559196054449e-57,4.188091322515996e-57,2.3943794959737925e-57,1.5577346482551942e-56,3.9669489900602096e-58,4.547859004417261e-57,3.637099114312481e-58,7.917742681950255e-57,1.9751175906380876e-53,1.2312727393324003e-59,2.0015254737762984e-55,7.781784636273911e-44,1.1059326008693244e-57,6.690930638186171e-56,1.4049714511328172e-58,2.895615911143219e-59,8.753741585103963e-59,6.034732675272459e-59,2.9601146601673783e-57
2,"Agung Nugroho Pramudhita, S.T., M.T.",6,Sistem Pelayanan Kesehatan Terpadu Berbasis IOT Pada Fasilitas Kesehatan,1.9802052513052786e-52,1.5431572567225952e-51,2.149099242033621e-54,4.7342678893680554e-49,7.993067901262253e-52,1.5235309462786973e-50,2.862228796488318e-50,4.5297794143124873e-51,8.198313780721224e-47,2.001012747772682e-47,1.095547694803337e-45,3.5813971550308626e-51,2.0485656806942754e-50,3.919908388453828e-50,1.772986641516628e-51,1.0070016411129881e-51,3.533220188382677e-53,4.0204368707110455e-52,2.1833667612724653e-53,2.389485647252317e-52,4.40017823445595e-52,4.97008524634648e-53,8.725595528972846e-53,2.2545715690311944e-53,3.5432443416231186e-52,5.161252905675072e-51,2.0579393336599822e-50,3.0678718742150366e-45,1.2007741468919325e-50,3.2554985191142868e-52,1.3349939950076392e-52,3.1848204968695816e-50,4.0469038269667665e-45,2.3662211973693632e-49,4.1816936988330315e-52,1.302712072432698e-51,2.533540059769912e-50,1.4885434222481943e-48
2,"Agung Nugroho Pramudhita, S.T., M.T.",7,Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,1.6729199926854606e-81,1.9142219734933663e-80,2.396171403640601e-70,8.328436481378614e-78,7.059397918522158e-71,3.490575491063546e-77,3.416041323490395e-69,3.1074647413410177e-81,2.2124447936149278e-82,1.3762548507166842e-80,4.6160371536355635e-83,5.585376207161541e-78,3.0086725519922367e-81,4.1466904356228375e-81,3.788266691536044e-81,4.112646578510332e-80,1.0319397661274615e-79,8.501477361096206e-79,8.87656137472524e-78,1.8363787224222744e-80,1.3260267223047312e-79,6.663763726671735e-78,2.331966542487309e-75,2.1736748749897183e-78,7.778981893561384e-74,1.4896925498599193e-80,2.1101480404918217e-79,1.2390687078406613e-76,3.9969895876298285e-81,4.405991478316905e-79,4.279313120224165e-79,6.94701641859945e-82,1.448337725031486e-79,2.3341989090629483e-80,1.4608979672463716e-76,5.543915941899291e-79,2.3823511102269865e-78,1.3249341103903323e-74
2,"Agung Nugroho Pramudhita, S.T., M.T.",8,Komparasi Algoritma Multi Criteria Decision Making Dengan Metode AHP dan SAW dalam perangkingan calon karyawan,2.8150235984959384e-42,2.567476043924041e-40,1.8535011901111146e-38,1.2692674314011033e-40,1.5004769891710763e-40,7.07326485423908e-38,5.283416533847332e-40,2.412839798820221e-41,2.3394208156350152e-42,1.1185843047897372e-42,9.352099047550779e-43,3.9846201230233976e-40,3.734091652648028e-41,1.0283756726400698e-41,1.0852240894950588e-40,3.04446288511637e-41,2.464680725905233e-41,3.0320187802618748e-40,2.3615356514066633e-41,6.733532396062193e-40,5.064408449424324e-39,1.1224461163962822e-40,2.6459855607415874e-40,3.927419706666414e-40,1.6696647055351606e-40,7.317649282311792e-43,5.59954293220286e-42,3.773891267451296e-41,1.821740977101763e-41,4.414036794989719e-41,1.6580835338283396e-34,3.628052914585251e-42,1.561161941570825e-42,3.2173663712749775e-41,5.400434609757016e-42,4.188905642940238e-42,4.573408705620544e-41,1.6292740092755545e-41
2,"Agung Nugroho Pramudhita, S.T., M.T.",9,Smart Grid Untuk Efisiensi Konsumsi Listrik Pada Proses Produksi Di Industri Manufaktur,4.168704234183948e-24,3.067489797943132e-24,1.6694793596693136e-24,2.829215957806054e-24,3.740530181052021e-24,1.0397738322248244e-22,3.1522542438102602e-24,7.225708255237301e-24,1.8080073145345462e-22,6.0742848047875435e-25,5.82418547106032e-23,1.68440332669664e-23,1.8331123153161685e-23,2.855638352153948e-23,2.074284125775119e-23,1.1149093814745981e-23,9.389970176415923e-24,6.662232207632626e-24,1.5597372404990529e-24,1.8478304888585417e-24,7.562433021371122e-24,5.409509373034601e-23,1.730603848716428e-23,3.2221578966700338e-24,2.8692443240127874e-24,4.5017845477447815e-24,9.657314070644431e-23,2.2978618426543013e-22,6.900610283205613e-23,6.991880397215219e-23,1.1411281945533505e-22,2.8507858718533597e-23,8.320840441662057e-25,2.568816935042764e-22,2.3681010193697157e-24,6.001628245926043e-25,1.3853872354058362e-23,1.5744528837030505e-23
2,"Agung Nugroho Pramudhita, S.T., M.T.",10,Sistem Informasi Peramalan Jumlah Pengunjung Menggunakan Metode Double Exponential Smoothing Studi Kasus Body Gym Kota Malang,1.672919992685461e-81,5.1199282222548706e-79,1.997256167542748e-73,2.5876686056144904e-78,9.204764794006523e-80,1.4189328374701947e-79,5.108260120989607e-78,3.4286846066181154e-80,2.1645782601294002e-75,5.93324194000473e-80,1.859208506688868e-80,6.658662693235071e-80,1.2530919443348397e-77,1.313214070991048e-79,2.6694071014105257e-77,1.1881577805509908e-77,4.8014499517708516e-79,4.927158780575163e-79,1.4955468234011373e-77,1.8363787224222744e-80,1.0899504336922705e-77,5.0200778778788114e-79,5.007140670593061e-79,2.631674825809933e-78,3.873659376000905e-80,3.4202757693049735e-77,2.294057939707158e-75,1.4343350986891157e-73,3.9969895876298285e-81,4.581953646322369e-64,1.0986590660799113e-73,2.0511085413069124e-78,2.5898080164796587e-77,4.726162058995009e-78,6.897088131632294e-80,8.480653120461024e-81,6.559327801776462e-78,1.0524150874888274e-76
