No Dosen,Nama Dosen,No Judul,Judul,No Grup Riset,Grup Riset,No Bidang,Nama Bidang,Nilai Prediksi,Deleted
1,"Ade Ismail, S.Kom., M.TI",1,Desain Data Center Berbasis Hyper Converged Infrastructure Dengan Standar Tia-942 Untuk Green Campus,4,Information System,28,Penerapan Sistem Informasi Geografis,4.148014778434335e-25,0
1,"Ade Ismail, S.Kom., M.TI",2,Standarisasi Infrastruktur Jaringan Komputer Sekolah Berbasis Cisco Safe Concept Untuk Menunjang Sistem Informasi Sekolah,2,Computer Network,14,Penerapan Virtualisasi Jaringan,1.0682860375158909e-30,0
1,"Ade Ismail, S.Kom., M.TI",3,Desain dan Implementasi Tools System Administrator dengan Protokol SSH,2,Computer Network,16,Penerapan Teknologi Nirkabel,5.5666457775083066e-43,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",4,Penggunaan Algoritma Multi Criteria Decision Making dengan Metode Topsis dalam Penempatan Karyawan,4,Information System,31,Penerapan Sistem Pendukung Keputusan,1.9332096621700248e-29,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",5,Sistem Pendukung Keputusan Penentuan Lokasi Pembangunan Peternakan Ayam Menggunakan Metode MOORA,4,Information System,31,Penerapan Sistem Pendukung Keputusan,7.781784636273912e-44,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",6,Sistem Pelayanan Kesehatan Terpadu Berbasis IOT Pada Fasilitas Kesehatan,4,Information System,33,Penerapan Customer Relationship Management,4.046903826966767e-45,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",7,Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,1,Sistem Cerdas,7,Penerapan Penambangan Teks,3.416041323490395e-69,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",8,Komparasi Algoritma Multi Criteria Decision Making Dengan Metode AHP dan SAW dalam perangkingan calon karyawan,4,Information System,31,Penerapan Sistem Pendukung Keputusan,1.6580835338283396e-34,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",9,Smart Grid Untuk Efisiensi Konsumsi Listrik Pada Proses Produksi Di Industri Manufaktur,4,Information System,34,Penerapan Pembelajaran Elektronik pada Sistem Informasi,2.568816935042764e-22,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",10,Sistem Informasi Peramalan Jumlah Pengunjung Menggunakan Metode Double Exponential Smoothing Studi Kasus Body Gym Kota Malang,4,Information System,30,Penerapan Sistem Peramalan,4.581953646322369e-64,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",11,Perbandingan Metode TOPSIS dan SAW dalam Penempatan Karyawan,4,Information System,31,Penerapan Sistem Pendukung Keputusan,1.5187968738317738e-19,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",12,Perancangan User Interface Sistem Informasi Alumni Menggunakan Metode Webuse Dan User Centered Design,4,Information System,34,Penerapan Pembelajaran Elektronik pada Sistem Informasi,4.171467209989222e-52,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",13,PERANCANGAN DAN PEMBUATAN VIRTUAL LABORATORIUM GRAYSCALE MORPHOLOGY UNTUK MATA KULIAH PENGOLAHAN CITRA,5,Multimedia dan Game,37,Multimedia,5.0083798187069785e-56,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",14,PENGEMBANGAN VIRTUAL LAB MATA KULIAH PENGOLAHAN CITRA PADA BAB GRAYSCALE MORPHOLOGY,5,Multimedia dan Game,37,Multimedia,3.590862000975039e-50,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",15,Implementasi Sistem Pendeteksi Tingkat Kematangan Buah Pepaya Menggunakan Metode RGB,3,Computer Vision,25,Penerapan Morfologi Citra Digital,7.921064288411727e-38,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",16,Analisis Peramalan Peluang Bisnis Tanah Menggunakan Metode Double Exponential Smoothing,4,Information System,30,Penerapan Sistem Peramalan,6.707722471264674e-54,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",17,Identifikasi Kualitas Strawberry Berdasarkan Warna dan Tekstur Dengan Menggunakan Gray Level Co-Occurrence Matrix dan Naive Bayes,3,Computer Vision,25,Penerapan Morfologi Citra Digital,1.0822663472264548e-50,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",18,PERAMALAN DAERAH RAWAN KRIMINALITAS YANG ADA DI WILAYAH BATU MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING BERBASIS GIS STUDI KASUS KECAMATAN BATU,4,Information System,30,Penerapan Sistem Peramalan,8.896842765797086e-109,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",19,PEMBUATAN APLIKASI PELAYANAN LAUNDRY BERBASIS ANDROID STUDI KASUS DI BERSIH LAUNDRY,5,Multimedia dan Game,37,Multimedia,4.9131241633968667e-57,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",20,SISTEM INFORMASI BODY GYM KOTA MALANG DENGAN PERAMALAN JUMLAH PENGUNJUNG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,4,Information System,30,Penerapan Sistem Peramalan,9.969174323858832e-51,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",21,ANALISIS PERAMALAN TERHADAP PELUANG BISNIS TANAH UNTUK PT JNF DI KOTA MALANG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,4,Information System,30,Penerapan Sistem Peramalan,8.660226932006782e-82,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",22,PERBANDINGAN METODE FTS DAN MA PADA PERAMALAN PERSEDIAAN BERAS,4,Information System,30,Penerapan Sistem Peramalan,1.3678112778394704e-37,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",23,SPKK Penyakit Paru-Paru Guna Membantu Proses Anamnesa Berbasis Mobile,1,Sistem Cerdas,5,Penerapan Sistem Pakar,1.9596690245459647e-39,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",24,Perbandingan Metode FTS Dan MA pada Peramalan Persediaan Beras di Kabupaten Malang,4,Information System,30,Penerapan Sistem Peramalan,8.42063087787217e-27,0
3,"Ahmadi Yuli Ananta, ST., M.M.",25,Pembuatan Sistem Pakar Diagnosa Penyakit Pada Burung Puyuh Dengan Menggunakan Metode Forward Chaining,1,Sistem Cerdas,5,Penerapan Sistem Pakar,6.628674113827251e-22,0
3,"Ahmadi Yuli Ananta, ST., M.M.",26,Desain Sistem Smart Attendance Menggunakan Kombinasi Smart Card Dan Sidik Jari,1,Sistem Cerdas,9,Penerapan Smart Living,5.1654737349727914e-39,0
3,"Ahmadi Yuli Ananta, ST., M.M.",27,Sistem Informasi Peramalan Penjualan Barang Dengan Metode Double Exponential Smoothing Studi Kasus Istana Sayur,4,Information System,30,Penerapan Sistem Peramalan,1.6900080410208067e-55,0
3,"Ahmadi Yuli Ananta, ST., M.M.",28,Seleksi Notifikasi Serangan Berbasis Ids Snort Menggunakan Metode K-Means,2,Computer Network,17,Penerapan IT Forensik pada Jaringan,3.20408746948909e-28,0
3,"Ahmadi Yuli Ananta, ST., M.M.",29,Implementasi Naive Bayes Dan Pos Tagging Menggunakan Metode Hidden Markov Model Viterbi Pada Analisa Sentimen Terhadap Akun Twitter Presiden Joko Widodo Di Saat Pandemi COVID-19,1,Sistem Cerdas,7,Penerapan Penambangan Teks,2.552992446394829e-95,0
3,"Ahmadi Yuli Ananta, ST., M.M.",30,Rancang Bangun Sistem Pendukung Keputusan Kelayakan Pemberian Kredit Menggunakan Metode Profile Matching,4,Information System,31,Penerapan Sistem Pendukung Keputusan,5.610647535350187e-29,0
3,"Ahmadi Yuli Ananta, ST., M.M.",31,SISTEM PENDUKUNG KEPUTUSAN SOLUSI KELAYAKAN PENERIMA BANTUAN BEDAH RUMAH MENGGUNAKAN METODE PROFILE MATCHING,4,Information System,31,Penerapan Sistem Pendukung Keputusan,1.0850844297618074e-54,0
3,"Ahmadi Yuli Ananta, ST., M.M.",32,Pengembangan Sistem Otomatisasi AC dan Lampu Menggunakan Fuzzy dan Raspberry Pi,2,Computer Network,11,Penerapan IoT,2.0684419892504667e-70,0
3,"Ahmadi Yuli Ananta, ST., M.M.",33,Implementasi Game Kuis Tebak Tangga Nada Jawa Dengan Metode Fisher-Yates Shuffle dan Fuzzy Tsukamoto Berbasis Android,1,Sistem Cerdas,2,Penerapan Kecerdasan Buatan,6.022117572322145e-57,0
3,"Ahmadi Yuli Ananta, ST., M.M.",34,Sistem Pendukung Keputusan Rekomendasi Pembelian Mobil Keluarga Dengan Metode Topsis Dan Moora,4,Information System,31,Penerapan Sistem Pendukung Keputusan,7.2075304607731315e-50,0
3,"Ahmadi Yuli Ananta, ST., M.M.",35,Sistem Pendukung Keputusan Dengan Menerapkan Logika Fuzzy Dalam Menentukan Prioritas Calon Debitur,4,Information System,31,Penerapan Sistem Pendukung Keputusan,2.554187333129524e-36,0
3,"Ahmadi Yuli Ananta, ST., M.M.",36,Perancangan Sistem Penjualan Buku Secara Online Berbasis Web Dengan Menggunakan Kartu Kredit,4,Information System,33,Penerapan Customer Relationship Management,2.812682574688715e-58,0
3,"Ahmadi Yuli Ananta, ST., M.M.",37,Pengukuran Intonasi Suara Bass Pria Pada Media Pembelajaran Paduan Suara Jarak Jauh,5,Multimedia dan Game,37,Multimedia,4.5431876863021904e-60,0
3,"Ahmadi Yuli Ananta, ST., M.M.",38,BUKU KAS BERBASIS WEBSITE PADA USAHA KATERING DI PANTI ASUHAN PUTRI AISYIYAH MALANG,4,Information System,34,Penerapan Pembelajaran Elektronik pada Sistem Informasi,7.850678818590716e-105,0
3,"Ahmadi Yuli Ananta, ST., M.M.",39,Sistem Informasi Peramalan Jumlah Produksi Ikan pada Dinas Perikanan Kab Malang Menggunakan Metode SARIMA,4,Information System,30,Penerapan Sistem Peramalan,5.343528818924253e-51,0
