No Dosen,Nama Dosen,No Grup Riset 1,Kecenderungan Grup Riset 1,Jumlah Grup Riset 1,Persentase Grup Riset 1,No Grup Riset 2,Kecenderungan Grup Riset 2,Jumlah Grup Riset 2,Persentase Grup Riset 2,Deleted
1,"Ade Ismail, S.Kom., M.TI",2,Computer Network,2,66,4,Information System,1,33,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",4,Information System,14,66,5,Multimedia dan Game,3,14,0
3,"Ahmadi Yuli Ananta, ST., M.M.",4,Information System,18,56,1,Sistem Cerdas,8,25,0
4,"Annisa Puspa Kirana., M.Kom",1,Sistem Cerdas,5,45,3,Computer Vision,1,9,0
5,"Annisa Taufika Firdausi, ST., MT.",1,Sistem Cerdas,10,45,4,Information System,7,31,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",5,Multimedia dan Game,6,35,1,Sistem Cerdas,5,29,0
7,"Ariadi Retno Ririd, S.Kom., M.Kom.",1,Sistem Cerdas,2,100,1,Sistem Cerdas,2,100,0
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",4,Information System,7,36,3,Computer Vision,5,26,0
9,"Arief Prasetyo, S.Kom., M.Kom.",1,Sistem Cerdas,19,38,4,Information System,14,28,0
10,"Arwin Sumari ST., MT., DR.",4,Information System,32,40,3,Computer Vision,16,20,0
13,"Banni Satria Andoko, S. Kom., M.MSI",4,Information System,8,50,1,Sistem Cerdas,5,31,0
14,"Budi Harijanto, ST., M.MKom.",4,Information System,23,44,1,Sistem Cerdas,14,26,0
15,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",3,Computer Vision,18,32,4,Information System,11,20,0
17,"Dhebys Suryani, S.Kom., MT",4,Information System,10,47,2,Computer Network,5,23,0
19,"Deddy Kusbianto PA, Ir., M.Mkom.",4,Information System,51,70,1,Sistem Cerdas,8,11,0
21,"Dian Hanifudin Subhi, S.Kom., M.Kom.",4,Information System,7,46,1,Sistem Cerdas,5,33,0
22,"Dika Rizky Yunianto, S.Kom, M.Kom",1,Sistem Cerdas,10,55,4,Information System,7,38,0
23,"Dimas Wahyu Wibowo, ST., MT.",4,Information System,24,51,5,Multimedia dan Game,12,25,0
24,Dodit Suprianto SKom. MT.,4,Information System,7,41,2,Computer Network,5,29,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",4,Information System,44,48,1,Sistem Cerdas,29,32,0
26,"Eka Larasati Amalia, S.ST., MT.",4,Information System,37,68,1,Sistem Cerdas,11,20,0
27,"Ekojono, ST., M.Kom.",4,Information System,20,42,1,Sistem Cerdas,12,25,0
28,"Elok Nur Hamdana, S.T., M.T",4,Information System,11,42,1,Sistem Cerdas,10,38,0
29,"Endah Septa Sintiya. SPd., MKom.",1,Sistem Cerdas,3,50,5,Multimedia dan Game,2,33,0
30,"Erfan Rohadi, ST., M.Eng., Ph.D.",4,Information System,24,44,2,Computer Network,15,27,0
33,"Gunawan Budi Prasetyo, ST., MMT., Ph.D.",4,Information System,6,75,5,Multimedia dan Game,1,12,0
34,"Habibie Ed Dien, MT.",4,Information System,6,66,1,Sistem Cerdas,2,22,0
35,"Hendra Pradibta, SE., M.Sc.",4,Information System,13,40,1,Sistem Cerdas,11,34,0
36,"Ika Kusumaning Putri, MT.",4,Information System,4,40,1,Sistem Cerdas,3,30,0
37,"Imam Fahrur Rozi, ST., MT.",1,Sistem Cerdas,36,59,4,Information System,18,29,0
38,"Indra Dharma Wijaya, ST., M.MT.",4,Information System,50,39,1,Sistem Cerdas,31,24,0
39,"Irsyad Arif Mashudi, M.Kom",1,Sistem Cerdas,6,54,4,Information System,3,27,0
40,"Kadek Suarjuna Batubulan, S.Kom, MT",4,Information System,11,34,1,Sistem Cerdas,10,31,0
41,"Luqman Affandi, S.Kom., MMSI",4,Information System,23,45,1,Sistem Cerdas,13,25,0
42,M. Hasyim Ratsanjani,1,Sistem Cerdas,4,80,4,Information System,1,20,0
43,Mamluatul Hani'ah,1,Sistem Cerdas,6,40,3,Computer Vision,2,13,0
44,"Meyti Eka Apriyani ST., MT.",5,Multimedia dan Game,14,46,4,Information System,8,26,0
45,Milyun Ni'ma Shoumi,4,Information System,8,72,3,Computer Vision,2,18,0
46,"Moch. Zawaruddin Abdullah, S.ST., M.Kom",4,Information System,7,46,1,Sistem Cerdas,5,33,0
47,"Muhammad Afif Hendrawan.,S.Kom., MT",3,Computer Vision,2,66,5,Multimedia dan Game,1,33,0
48,"Muhammad Shulhan Khairy, S.Kom, M.Kom",5,Multimedia dan Game,6,40,2,Computer Network,2,13,0
50,"Mungki Astiningrum, ST., M.Kom.",4,Information System,18,31,1,Sistem Cerdas,15,26,0
51,"Mustika Mentari, S.Kom., M.Kom",4,Information System,19,48,3,Computer Vision,11,28,0
53,"Odhitya Desta Triswidrananta, S.Pd., M.Pd.",4,Information System,2,100,4,Information System,2,100,0
54,"Pramana Yoga Saputra, S.Kom., MMT.",1,Sistem Cerdas,17,51,4,Information System,14,42,0
55,"Putra Prima A., ST., M.Kom.",4,Information System,13,36,1,Sistem Cerdas,7,19,0
