No Dosen,Nama Dosen,Nama Bidang,Jumlah Bidang Muncul
1,"Ade Ismail, S.Kom., M.TI",Penerapan Sistem Informasi Geografis,1
1,"Ade Ismail, S.Kom., M.TI",Penerapan Virtualisasi Jaringan,1
1,"Ade Ismail, S.Kom., M.TI",Penerapan Teknologi Nirkabel,1
2,"Agung Nugroho Pramudhita, S.T., M.T.",Penerapan Sistem Pendukung Keputusan,4
2,"Agung Nugroho Pramudhita, S.T., M.T.",Penerapan Customer Relationship Management,1
2,"Agung Nugroho Pramudhita, S.T., M.T.",Penerapan Penambangan Teks,1
2,"Agung Nugroho Pramudhita, S.T., M.T.",Penerapan Pembelajaran Elektronik pada Sistem Informasi,2
2,"Agung Nugroho Pramudhita, S.T., M.T.",Penerapan Sistem Peramalan,7
2,"Agung Nugroho Pramudhita, S.T., M.T.",Multimedia,3
2,"Agung Nugroho Pramudhita, S.T., M.T.",Penerapan Morfologi Citra Digital,2
2,"Agung Nugroho Pramudhita, S.T., M.T.",Penerapan Sistem Pakar,1
3,"Ahmadi Yuli Ananta, ST., M.M.",Penerapan Sistem Pakar,2
3,"Ahmadi Yuli Ananta, ST., M.M.",Penerapan Smart Living,1
3,"Ahmadi Yuli Ananta, ST., M.M.",Penerapan Sistem Peramalan,5
3,"Ahmadi Yuli Ananta, ST., M.M.",Penerapan IT Forensik pada Jaringan,1
3,"Ahmadi Yuli Ananta, ST., M.M.",Penerapan Penambangan Teks,1
3,"Ahmadi Yuli Ananta, ST., M.M.",Penerapan Sistem Pendukung Keputusan,7
3,"Ahmadi Yuli Ananta, ST., M.M.",Penerapan IoT,1
3,"Ahmadi Yuli Ananta, ST., M.M.",Penerapan Kecerdasan Buatan,2
3,"Ahmadi Yuli Ananta, ST., M.M.",Penerapan Customer Relationship Management,2
3,"Ahmadi Yuli Ananta, ST., M.M.",Multimedia,1
3,"Ahmadi Yuli Ananta, ST., M.M.",Penerapan Pembelajaran Elektronik pada Sistem Informasi,2
3,"Ahmadi Yuli Ananta, ST., M.M.",Penerapan Sistem Informasi Geografis,2
3,"Ahmadi Yuli Ananta, ST., M.M.",Penerapan Data Besar,2
3,"Ahmadi Yuli Ananta, ST., M.M.",Pengembangan Game,3
4,"Annisa Puspa Kirana., M.Kom",Penerapan Watermarking pada Citra,1
4,"Annisa Puspa Kirana., M.Kom",Penerapan Penambangan Teks,1
4,"Annisa Puspa Kirana., M.Kom",Penerapan Data Besar,2
4,"Annisa Puspa Kirana., M.Kom",Penerapan Pembelajaran Elektronik pada Sistem Informasi,1
4,"Annisa Puspa Kirana., M.Kom",Penerapan Sistem Informasi Geografis,3
4,"Annisa Puspa Kirana., M.Kom",Penerapan Sistem Pendukung Keputusan,1
4,"Annisa Puspa Kirana., M.Kom",Penerapan Sistem Pakar,1
4,"Annisa Puspa Kirana., M.Kom",Penerapan Penambangan Data,1
5,"Annisa Taufika Firdausi, ST., MT.",Penerapan Penambangan Teks,1
5,"Annisa Taufika Firdausi, ST., MT.",Penerapan Sistem Pendukung Keputusan,3
5,"Annisa Taufika Firdausi, ST., MT.",Penerapan Data Besar,2
5,"Annisa Taufika Firdausi, ST., MT.",Penerapan Sistem Pakar,4
5,"Annisa Taufika Firdausi, ST., MT.",Multimedia,1
5,"Annisa Taufika Firdausi, ST., MT.",Penerapan Manajemen Informasi,1
5,"Annisa Taufika Firdausi, ST., MT.",Penerapan Augmented Reality,1
5,"Annisa Taufika Firdausi, ST., MT.",Penerapan Penambangan Data,2
5,"Annisa Taufika Firdausi, ST., MT.",Penerapan Enkripsi,1
5,"Annisa Taufika Firdausi, ST., MT.",Penerapan Sistem Peramalan,3
5,"Annisa Taufika Firdausi, ST., MT.",Penerapan Kecerdasan Buatan,1
5,"Annisa Taufika Firdausi, ST., MT.",Pengembangan Game,1
5,"Annisa Taufika Firdausi, ST., MT.",Penerapan Transformasi Citra,1
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",Penerapan Kecerdasan Buatan,2
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",Penerapan Bisnis Elektronik Sistem Informasi,2
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",Penerapan Transformasi Citra,1
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",Multimedia,3
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",Penerapan Sistem Pendukung Keputusan,2
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",Penerapan Penambangan Data,2
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",Penerapan Augmented Reality,2
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",Penerapan Data Besar,1
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",Penerapan Pembelajaran Elektronik pada Sistem Informasi,1
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",Pengembangan Game,1
7,"Ariadi Retno Ririd, S.Kom., M.Kom.",Penerapan Sistem Pakar,1
7,"Ariadi Retno Ririd, S.Kom., M.Kom.",Penerapan Penambangan Data,1
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",Penerapan Pengenalan Pola,2
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",Penerapan Sistem Peramalan,1
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",Penerapan Transformasi Citra,1
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",Penerapan Morfologi Citra Digital,1
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",Penerapan Kompresi Citra,1
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",Penerapan Augmented Reality,1
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",Multimedia,1
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",Computational Thinking,1
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",Penerapan Manajemen Informasi,1
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",Penerapan Sistem Informasi Geografis,1
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",Penerapan Sistem Pendukung Keputusan,1
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",Penerapan Customer Relationship Management,2
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",Penerapan Data Besar,1
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",Penerapan Penambangan Teks,1
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",Penerapan Information Retrieval,1
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",Penerapan Kecerdasan Buatan,1
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",Penerapan Sistem Pakar,1
9,"Arief Prasetyo, S.Kom., M.Kom.",Penerapan Data Besar,6
9,"Arief Prasetyo, S.Kom., M.Kom.",Penerapan Penambangan Teks,5
9,"Arief Prasetyo, S.Kom., M.Kom.",Penerapan IoT,5
9,"Arief Prasetyo, S.Kom., M.Kom.",Pengembangan Game,3
9,"Arief Prasetyo, S.Kom., M.Kom.",Penerapan Sistem Informasi Geografis,2
9,"Arief Prasetyo, S.Kom., M.Kom.",Penerapan Bisnis Elektronik Sistem Informasi,3
9,"Arief Prasetyo, S.Kom., M.Kom.",Penerapan Keamanan Data,2
9,"Arief Prasetyo, S.Kom., M.Kom.",Penerapan Sistem Pendukung Keputusan,5
9,"Arief Prasetyo, S.Kom., M.Kom.",Multimedia,2
9,"Arief Prasetyo, S.Kom., M.Kom.",Penerapan IT Forensik pada Jaringan,1
9,"Arief Prasetyo, S.Kom., M.Kom.",Penerapan Pembelajaran Elektronik pada Sistem Informasi,1
9,"Arief Prasetyo, S.Kom., M.Kom.",Penerapan Kompresi Citra,1
9,"Arief Prasetyo, S.Kom., M.Kom.",Computational Thinking,1
9,"Arief Prasetyo, S.Kom., M.Kom.",Penerapan Enkripsi,1
9,"Arief Prasetyo, S.Kom., M.Kom.",Penerapan Manajemen Informasi,1
9,"Arief Prasetyo, S.Kom., M.Kom.",Penerapan Sistem Peramalan,1
9,"Arief Prasetyo, S.Kom., M.Kom.",Penerapan Information Retrieval,5
9,"Arief Prasetyo, S.Kom., M.Kom.",Penerapan Augmented Reality,2
9,"Arief Prasetyo, S.Kom., M.Kom.",Penerapan Kecerdasan Buatan,1
9,"Arief Prasetyo, S.Kom., M.Kom.",Penerapan Sistem Pakar,2
10,"Arwin Sumari ST., MT., DR.",Computational Thinking,4
10,"Arwin Sumari ST., MT., DR.",Penerapan Transformasi Citra,6
10,"Arwin Sumari ST., MT., DR.",Penerapan Bisnis Elektronik Sistem Informasi,2
10,"Arwin Sumari ST., MT., DR.",Penerapan Smart Living,6
10,"Arwin Sumari ST., MT., DR.",Penerapan Pembelajaran Elektronik pada Sistem Informasi,4
10,"Arwin Sumari ST., MT., DR.",Penerapan Augmented Reality,9
10,"Arwin Sumari ST., MT., DR.",Penerapan Watermarking pada Citra,2
10,"Arwin Sumari ST., MT., DR.",Penerapan Manajemen Informasi,6
10,"Arwin Sumari ST., MT., DR.",Penerapan Sistem Pendukung Keputusan,5
10,"Arwin Sumari ST., MT., DR.",Penerapan Sistem Peramalan,5
10,"Arwin Sumari ST., MT., DR.",Multimedia,3
10,"Arwin Sumari ST., MT., DR.",Penerapan Morfologi Citra Digital,4
