No Dosen,Nama Dosen,No Bidang,Kecenderungan Bidang,Jumlah Bidang Muncul,Persentase
1,"Ade Ismail, S.Kom., M.TI",28,Penerapan Sistem Informasi Geografis,1,33
2,"Agung Nugroho Pramudhita, S.T., M.T.",30,Penerapan Sistem Peramalan,7,33
3,"Ahmadi Yuli Ananta, ST., M.M.",31,Penerapan Sistem Pendukung Keputusan,7,21
4,"Annisa Puspa Kirana., M.Kom",28,Penerapan Sistem Informasi Geografis,3,27
5,"Annisa Taufika Firdausi, ST., MT.",5,Penerapan Sistem Pakar,4,18
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",37,Multimedia,3,17
7,"Ariadi Retno Ririd, S.Kom., M.Kom.",5,Penerapan Sistem Pakar,1,50
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",19,Penerapan Pengenalan Pola,2,10
9,"Arief Prasetyo, S.Kom., M.Kom.",3,Penerapan Data Besar,6,12
10,"Arwin Sumari ST., MT., DR.",38,Penerapan Augmented Reality,9,11
13,"Banni Satria Andoko, S. Kom., M.MSI",28,Penerapan Sistem Informasi Geografis,4,25
14,"Budi Harijanto, ST., M.MKom.",5,Penerapan Sistem Pakar,7,13
15,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",25,Penerapan Morfologi Citra Digital,7,12
17,"Dhebys Suryani, S.Kom., MT",30,Penerapan Sistem Peramalan,5,23
19,"Deddy Kusbianto PA, Ir., M.Mkom.",31,Penerapan Sistem Pendukung Keputusan,15,20
21,"Dian Hanifudin Subhi, S.Kom., M.Kom.",30,Penerapan Sistem Peramalan,3,20
22,"Dika Rizky Yunianto, S.Kom, M.Kom",4,Penerapan Information Retrieval,5,27
23,"Dimas Wahyu Wibowo, ST., MT.",31,Penerapan Sistem Pendukung Keputusan,13,27
24,Dodit Suprianto SKom. MT.,11,Penerapan IoT,4,23
25,"Dwi Puspitasari, S.Kom., M.Kom.",31,Penerapan Sistem Pendukung Keputusan,16,17
26,"Eka Larasati Amalia, S.ST., MT.",31,Penerapan Sistem Pendukung Keputusan,17,31
27,"Ekojono, ST., M.Kom.",31,Penerapan Sistem Pendukung Keputusan,9,19
28,"Elok Nur Hamdana, S.T., M.T",7,Penerapan Penambangan Teks,4,15
29,"Endah Septa Sintiya. SPd., MKom.",5,Penerapan Sistem Pakar,1,16
30,"Erfan Rohadi, ST., M.Eng., Ph.D.",11,Penerapan IoT,9,16
33,"Gunawan Budi Prasetyo, ST., MMT., Ph.D.",33,Penerapan Customer Relationship Management,3,37
34,"Habibie Ed Dien, MT.",28,Penerapan Sistem Informasi Geografis,2,22
