No Dosen,Nama Dosen,No Judul,Judul Jurnal,Kata Judul Jurnal Hasil Filter
1,"Ade Ismail, S.Kom., M.TI",1,Standarisasi Infrastruktur Jaringan Komputer Sekolah Berbasis Cisco Safe Concept Untuk Menunjang Sistem Informasi Sekolah,standar
1,"Ade Ismail, S.Kom., M.TI",1,Standarisasi Infrastruktur Jaringan Komputer Sekolah Berbasis Cisco Safe Concept Untuk Menunjang Sistem Informasi Sekolah,infrastruktur
1,"Ade Ismail, S.Kom., M.TI",1,Standarisasi Infrastruktur Jaringan Komputer Sekolah Berbasis Cisco Safe Concept Untuk Menunjang Sistem Informasi Sekolah,jaring
1,"Ade Ismail, S.Kom., M.TI",1,Standarisasi Infrastruktur Jaringan Komputer Sekolah Berbasis Cisco Safe Concept Untuk Menunjang Sistem Informasi Sekolah,komputer
1,"Ade Ismail, S.Kom., M.TI",1,Standarisasi Infrastruktur Jaringan Komputer Sekolah Berbasis Cisco Safe Concept Untuk Menunjang Sistem Informasi Sekolah,sekolah
1,"Ade Ismail, S.Kom., M.TI",1,Standarisasi Infrastruktur Jaringan Komputer Sekolah Berbasis Cisco Safe Concept Untuk Menunjang Sistem Informasi Sekolah,bas
1,"Ade Ismail, S.Kom., M.TI",1,Standarisasi Infrastruktur Jaringan Komputer Sekolah Berbasis Cisco Safe Concept Untuk Menunjang Sistem Informasi Sekolah,cisco
1,"Ade Ismail, S.Kom., M.TI",1,Standarisasi Infrastruktur Jaringan Komputer Sekolah Berbasis Cisco Safe Concept Untuk Menunjang Sistem Informasi Sekolah,safe
1,"Ade Ismail, S.Kom., M.TI",1,Standarisasi Infrastruktur Jaringan Komputer Sekolah Berbasis Cisco Safe Concept Untuk Menunjang Sistem Informasi Sekolah,concept
1,"Ade Ismail, S.Kom., M.TI",1,Standarisasi Infrastruktur Jaringan Komputer Sekolah Berbasis Cisco Safe Concept Untuk Menunjang Sistem Informasi Sekolah,tunjang
1,"Ade Ismail, S.Kom., M.TI",1,Standarisasi Infrastruktur Jaringan Komputer Sekolah Berbasis Cisco Safe Concept Untuk Menunjang Sistem Informasi Sekolah,sekolah
1,"Ade Ismail, S.Kom., M.TI",2,DESAIN DATA CENTER BERBASIS HYPER CONVERGED INFRASTRUCTURE DENGAN STANDAR TIA-942 UNTUK GREEN CAMPUS,desain
1,"Ade Ismail, S.Kom., M.TI",2,DESAIN DATA CENTER BERBASIS HYPER CONVERGED INFRASTRUCTURE DENGAN STANDAR TIA-942 UNTUK GREEN CAMPUS,data
1,"Ade Ismail, S.Kom., M.TI",2,DESAIN DATA CENTER BERBASIS HYPER CONVERGED INFRASTRUCTURE DENGAN STANDAR TIA-942 UNTUK GREEN CAMPUS,center
1,"Ade Ismail, S.Kom., M.TI",2,DESAIN DATA CENTER BERBASIS HYPER CONVERGED INFRASTRUCTURE DENGAN STANDAR TIA-942 UNTUK GREEN CAMPUS,bas
1,"Ade Ismail, S.Kom., M.TI",2,DESAIN DATA CENTER BERBASIS HYPER CONVERGED INFRASTRUCTURE DENGAN STANDAR TIA-942 UNTUK GREEN CAMPUS,hyper
1,"Ade Ismail, S.Kom., M.TI",2,DESAIN DATA CENTER BERBASIS HYPER CONVERGED INFRASTRUCTURE DENGAN STANDAR TIA-942 UNTUK GREEN CAMPUS,converged
1,"Ade Ismail, S.Kom., M.TI",2,DESAIN DATA CENTER BERBASIS HYPER CONVERGED INFRASTRUCTURE DENGAN STANDAR TIA-942 UNTUK GREEN CAMPUS,infrastructure
1,"Ade Ismail, S.Kom., M.TI",2,DESAIN DATA CENTER BERBASIS HYPER CONVERGED INFRASTRUCTURE DENGAN STANDAR TIA-942 UNTUK GREEN CAMPUS,standar
1,"Ade Ismail, S.Kom., M.TI",2,DESAIN DATA CENTER BERBASIS HYPER CONVERGED INFRASTRUCTURE DENGAN STANDAR TIA-942 UNTUK GREEN CAMPUS,tia-942
1,"Ade Ismail, S.Kom., M.TI",2,DESAIN DATA CENTER BERBASIS HYPER CONVERGED INFRASTRUCTURE DENGAN STANDAR TIA-942 UNTUK GREEN CAMPUS,green
1,"Ade Ismail, S.Kom., M.TI",2,DESAIN DATA CENTER BERBASIS HYPER CONVERGED INFRASTRUCTURE DENGAN STANDAR TIA-942 UNTUK GREEN CAMPUS,campus
1,"Ade Ismail, S.Kom., M.TI",3,Desain dan Implementasi Tools System Administrator dengan Protokol SSH,desain
1,"Ade Ismail, S.Kom., M.TI",3,Desain dan Implementasi Tools System Administrator dengan Protokol SSH,tools
1,"Ade Ismail, S.Kom., M.TI",3,Desain dan Implementasi Tools System Administrator dengan Protokol SSH,system
1,"Ade Ismail, S.Kom., M.TI",3,Desain dan Implementasi Tools System Administrator dengan Protokol SSH,administrator
1,"Ade Ismail, S.Kom., M.TI",3,Desain dan Implementasi Tools System Administrator dengan Protokol SSH,protokol
1,"Ade Ismail, S.Kom., M.TI",3,Desain dan Implementasi Tools System Administrator dengan Protokol SSH,ssh
2,"Agung Nugroho Pramudhita, S.T., M.T.",4,Penggunaan Algoritma Multi Criteria Decision Making dengan Metode Topsis dalam Penempatan Karyawan,algoritma
2,"Agung Nugroho Pramudhita, S.T., M.T.",4,Penggunaan Algoritma Multi Criteria Decision Making dengan Metode Topsis dalam Penempatan Karyawan,multi
2,"Agung Nugroho Pramudhita, S.T., M.T.",4,Penggunaan Algoritma Multi Criteria Decision Making dengan Metode Topsis dalam Penempatan Karyawan,criteria
2,"Agung Nugroho Pramudhita, S.T., M.T.",4,Penggunaan Algoritma Multi Criteria Decision Making dengan Metode Topsis dalam Penempatan Karyawan,decision
2,"Agung Nugroho Pramudhita, S.T., M.T.",4,Penggunaan Algoritma Multi Criteria Decision Making dengan Metode Topsis dalam Penempatan Karyawan,making
2,"Agung Nugroho Pramudhita, S.T., M.T.",4,Penggunaan Algoritma Multi Criteria Decision Making dengan Metode Topsis dalam Penempatan Karyawan,metode
2,"Agung Nugroho Pramudhita, S.T., M.T.",4,Penggunaan Algoritma Multi Criteria Decision Making dengan Metode Topsis dalam Penempatan Karyawan,topsis
2,"Agung Nugroho Pramudhita, S.T., M.T.",4,Penggunaan Algoritma Multi Criteria Decision Making dengan Metode Topsis dalam Penempatan Karyawan,tempat
2,"Agung Nugroho Pramudhita, S.T., M.T.",4,Penggunaan Algoritma Multi Criteria Decision Making dengan Metode Topsis dalam Penempatan Karyawan,karyawan
2,"Agung Nugroho Pramudhita, S.T., M.T.",5,Sistem Pendukung Keputusan Penentuan Lokasi Pembangunan Peternakan Ayam Menggunakan Metode MOORA,dukung
2,"Agung Nugroho Pramudhita, S.T., M.T.",5,Sistem Pendukung Keputusan Penentuan Lokasi Pembangunan Peternakan Ayam Menggunakan Metode MOORA,putus
2,"Agung Nugroho Pramudhita, S.T., M.T.",5,Sistem Pendukung Keputusan Penentuan Lokasi Pembangunan Peternakan Ayam Menggunakan Metode MOORA,tentu
2,"Agung Nugroho Pramudhita, S.T., M.T.",5,Sistem Pendukung Keputusan Penentuan Lokasi Pembangunan Peternakan Ayam Menggunakan Metode MOORA,lokasi
2,"Agung Nugroho Pramudhita, S.T., M.T.",5,Sistem Pendukung Keputusan Penentuan Lokasi Pembangunan Peternakan Ayam Menggunakan Metode MOORA,bangun
2,"Agung Nugroho Pramudhita, S.T., M.T.",5,Sistem Pendukung Keputusan Penentuan Lokasi Pembangunan Peternakan Ayam Menggunakan Metode MOORA,terna
2,"Agung Nugroho Pramudhita, S.T., M.T.",5,Sistem Pendukung Keputusan Penentuan Lokasi Pembangunan Peternakan Ayam Menggunakan Metode MOORA,ayam
2,"Agung Nugroho Pramudhita, S.T., M.T.",5,Sistem Pendukung Keputusan Penentuan Lokasi Pembangunan Peternakan Ayam Menggunakan Metode MOORA,metode
2,"Agung Nugroho Pramudhita, S.T., M.T.",5,Sistem Pendukung Keputusan Penentuan Lokasi Pembangunan Peternakan Ayam Menggunakan Metode MOORA,moora
2,"Agung Nugroho Pramudhita, S.T., M.T.",6,Komparasi Algoritma Multi Criteria Decision Making Dengan Metode AHP dan SAW dalam perangkingan calon karyawan,komparasi
2,"Agung Nugroho Pramudhita, S.T., M.T.",6,Komparasi Algoritma Multi Criteria Decision Making Dengan Metode AHP dan SAW dalam perangkingan calon karyawan,algoritma
2,"Agung Nugroho Pramudhita, S.T., M.T.",6,Komparasi Algoritma Multi Criteria Decision Making Dengan Metode AHP dan SAW dalam perangkingan calon karyawan,multi
2,"Agung Nugroho Pramudhita, S.T., M.T.",6,Komparasi Algoritma Multi Criteria Decision Making Dengan Metode AHP dan SAW dalam perangkingan calon karyawan,criteria
2,"Agung Nugroho Pramudhita, S.T., M.T.",6,Komparasi Algoritma Multi Criteria Decision Making Dengan Metode AHP dan SAW dalam perangkingan calon karyawan,decision
2,"Agung Nugroho Pramudhita, S.T., M.T.",6,Komparasi Algoritma Multi Criteria Decision Making Dengan Metode AHP dan SAW dalam perangkingan calon karyawan,making
2,"Agung Nugroho Pramudhita, S.T., M.T.",6,Komparasi Algoritma Multi Criteria Decision Making Dengan Metode AHP dan SAW dalam perangkingan calon karyawan,metode
2,"Agung Nugroho Pramudhita, S.T., M.T.",6,Komparasi Algoritma Multi Criteria Decision Making Dengan Metode AHP dan SAW dalam perangkingan calon karyawan,ahp
2,"Agung Nugroho Pramudhita, S.T., M.T.",6,Komparasi Algoritma Multi Criteria Decision Making Dengan Metode AHP dan SAW dalam perangkingan calon karyawan,saw
2,"Agung Nugroho Pramudhita, S.T., M.T.",6,Komparasi Algoritma Multi Criteria Decision Making Dengan Metode AHP dan SAW dalam perangkingan calon karyawan,rangking
2,"Agung Nugroho Pramudhita, S.T., M.T.",6,Komparasi Algoritma Multi Criteria Decision Making Dengan Metode AHP dan SAW dalam perangkingan calon karyawan,calon
2,"Agung Nugroho Pramudhita, S.T., M.T.",6,Komparasi Algoritma Multi Criteria Decision Making Dengan Metode AHP dan SAW dalam perangkingan calon karyawan,karyawan
2,"Agung Nugroho Pramudhita, S.T., M.T.",7,Perbandingan Metode TOPSIS dan SAW dalam Penempatan Karyawan,banding
2,"Agung Nugroho Pramudhita, S.T., M.T.",7,Perbandingan Metode TOPSIS dan SAW dalam Penempatan Karyawan,metode
2,"Agung Nugroho Pramudhita, S.T., M.T.",7,Perbandingan Metode TOPSIS dan SAW dalam Penempatan Karyawan,topsis
