,indeks_1,indeks_2,No,Nama Dosen,Judul Jurnal,Kata Judul Jurnal Hasil Filter
0,0,1,1,"Ade Ismail, S.Kom., M.TI",Standarisasi Infrastruktur Jaringan Komputer Sekolah Berbasis Cisco Safe Concept Untuk Menunjang Sistem Informasi Sekolah,infrastruktur
1,1,2,1,"Ade Ismail, S.Kom., M.TI",Standarisasi Infrastruktur Jaringan Komputer Sekolah Berbasis Cisco Safe Concept Untuk Menunjang Sistem Informasi Sekolah,jaring
2,2,3,1,"Ade Ismail, S.Kom., M.TI",Standarisasi Infrastruktur Jaringan Komputer Sekolah Berbasis Cisco Safe Concept Untuk Menunjang Sistem Informasi Sekolah,komputer
3,3,4,1,"Ade Ismail, S.Kom., M.TI",Standarisasi Infrastruktur Jaringan Komputer Sekolah Berbasis Cisco Safe Concept Untuk Menunjang Sistem Informasi Sekolah,sekolah
4,4,5,1,"Ade Ismail, S.Kom., M.TI",Standarisasi Infrastruktur Jaringan Komputer Sekolah Berbasis Cisco Safe Concept Untuk Menunjang Sistem Informasi Sekolah,bas
5,5,6,1,"Ade Ismail, S.Kom., M.TI",Standarisasi Infrastruktur Jaringan Komputer Sekolah Berbasis Cisco Safe Concept Untuk Menunjang Sistem Informasi Sekolah,cisco
6,6,7,1,"Ade Ismail, S.Kom., M.TI",Standarisasi Infrastruktur Jaringan Komputer Sekolah Berbasis Cisco Safe Concept Untuk Menunjang Sistem Informasi Sekolah,safe
7,7,8,1,"Ade Ismail, S.Kom., M.TI",Standarisasi Infrastruktur Jaringan Komputer Sekolah Berbasis Cisco Safe Concept Untuk Menunjang Sistem Informasi Sekolah,concept
8,8,9,1,"Ade Ismail, S.Kom., M.TI",Standarisasi Infrastruktur Jaringan Komputer Sekolah Berbasis Cisco Safe Concept Untuk Menunjang Sistem Informasi Sekolah,tunjang
9,9,10,1,"Ade Ismail, S.Kom., M.TI",Standarisasi Infrastruktur Jaringan Komputer Sekolah Berbasis Cisco Safe Concept Untuk Menunjang Sistem Informasi Sekolah,sekolah
10,10,11,2,"Ade Ismail, S.Kom., M.TI",Desain dan Implementasi Tools System Administrator dengan Protokol SSH,desain
11,11,12,2,"Ade Ismail, S.Kom., M.TI",Desain dan Implementasi Tools System Administrator dengan Protokol SSH,tools
12,12,13,2,"Ade Ismail, S.Kom., M.TI",Desain dan Implementasi Tools System Administrator dengan Protokol SSH,system
13,13,14,2,"Ade Ismail, S.Kom., M.TI",Desain dan Implementasi Tools System Administrator dengan Protokol SSH,administrator
14,14,15,2,"Ade Ismail, S.Kom., M.TI",Desain dan Implementasi Tools System Administrator dengan Protokol SSH,protokol
15,15,16,2,"Ade Ismail, S.Kom., M.TI",Desain dan Implementasi Tools System Administrator dengan Protokol SSH,ssh
16,16,17,3,"Ade Ismail, S.Kom., M.TI",DESAIN DATA CENTER BERBASIS HYPER CONVERGED INFRASTRUCTURE DENGAN STANDAR TIA-942 UNTUK GREEN CAMPUS,desain
17,17,18,3,"Ade Ismail, S.Kom., M.TI",DESAIN DATA CENTER BERBASIS HYPER CONVERGED INFRASTRUCTURE DENGAN STANDAR TIA-942 UNTUK GREEN CAMPUS,data
18,18,19,3,"Ade Ismail, S.Kom., M.TI",DESAIN DATA CENTER BERBASIS HYPER CONVERGED INFRASTRUCTURE DENGAN STANDAR TIA-942 UNTUK GREEN CAMPUS,center
19,19,20,3,"Ade Ismail, S.Kom., M.TI",DESAIN DATA CENTER BERBASIS HYPER CONVERGED INFRASTRUCTURE DENGAN STANDAR TIA-942 UNTUK GREEN CAMPUS,bas
