No Bidang,No Grup Riset,Bidang Penelitian
1,1,Skalabilitas dan Analitik Data
2,1,Penerapan Kecerdasan Buatan
3,1,Penerapan Data Besar
4,1,Penerapan Information Retrieval
5,1,Penerapan Sistem Pakar
6,1,Penerapan Penambangan Data
7,1,Penerapan Penambangan Teks
8,1,Penerapan Intelijen Bisnis
9,1,Penerapan Smart Living
10,2,Penerapan Komputasi Awan
11,2,Penerapan IoT
12,2,Penerapan Keamanan Data
13,2,Penerapan Keamanan Cyber
14,2,Penerapan Virtualisasi Jaringan
15,2,Penerapan Teknologi Jaringan
16,2,Penerapan Teknologi Nirkabel
17,2,Penerapan IT Forensik pada Jaringan
18,2,Penerapan Enkripsi
19,3,Penerapan Pengenalan Pola
20,3,Penerapan Watermarking pada Citra
21,3,Penerapan Kompresi Citra
22,3,Penerapan Pengolahan Citra
23,3,Penerapan Transformasi Citra
24,3,Penerapan Filtering Citra
25,3,Penerapan Morfologi Citra Digital
26,4,Integrasi Sistem dan Arsitektur
27,4,Penerapan Manajemen Informasi
28,4,Penerapan Sistem Informasi Geografis
29,4,Penerapan Global Professional Practice
30,4,Penerapan Sistem Peramalan
31,4,Penerapan Sistem Pendukung Keputusan
32,4,Penerapan Bisnis Elektronik Sistem Informasi
33,4,Penerapan Customer Relationship Management
34,4,Penerapan Pembelajaran Elektronik pada Sistem Informasi
35,4,Computational Thinking
36,5,Pengembangan Game
37,5,Multimedia
38,5,Penerapan Augmented Reality
