No Dosen,Nama Dosen,Link
1,"Ade Ismail, S.Kom., M.TI",https://scholar.google.com/citations?hl=id&user=eJbYp4sAAAAJ
2,"Agung Nugroho Pramudhita, S.T., M.T.",https://scholar.google.co.id/citations?hl=id&user=hpVrzLoAAAAJ
3,"Ahmadi Yuli Ananta, ST., M.M.",https://scholar.google.co.id/citations?hl=id&user=CzwBo4kAAAAJ
4,"Annisa Puspa Kirana., M.Kom",https://scholar.google.co.id/citations?hl=id&user=BQl6KOsAAAAJ
5,"Annisa Taufika Firdausi, ST., MT.",https://scholar.google.co.id/citations?hl=id&user=_c_ST4wAAAAJ
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",https://scholar.google.co.id/citations?hl=id&user=XmTRRCMAAAAJ
7,"Ariadi Retno Ririd, S.Kom., M.Kom.",https://scholar.google.co.id/citations?hl=id&user=qoWiXaQAAAAJ
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",https://scholar.google.co.id/citations?hl=id&user=uWkPfW8AAAAJ
9,"Arief Prasetyo, S.Kom., M.Kom.",https://scholar.google.co.id/citations?hl=id&user=RhDqNtwAAAAJ
10,"Arwin Sumari ST., MT., DR.",https://scholar.google.com/citations?hl=id&user=PnAIYMwAAAAJ
11,"Ashri Shabrina Afrah, S.ST., M.T.",https://scholar.google.com/citations?hl=id&user=aaJoX90AAAAJ
12,"Bagas Satya Dian Nugraha",-
13,"Banni Satria Andoko, S. Kom., M.MSI",https://scholar.google.com/citations?hl=id&user=jetyPtUAAAAJ
14,"Budi Harijanto, ST., M.MKom.",https://scholar.google.co.id/citations?hl=id&user=ysWaNAsAAAAJ
15,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",https://scholar.google.co.id/citations?hl=id&user=jsZm5usAAAAJ
16,"Candra Bella Vista, S.Kom., M.T.",-
17,"Dhebys Suryani, S.Kom., MT",https://scholar.google.com/citations?hl=id&user=k46osOYAAAAJ
18,"Deasy Sandhya",-
19,"Deddy Kusbianto PA, Ir., M.Mkom.",https://scholar.google.com/citations?hl=id&user=E91eW5UAAAAJ
20,"Diana Mayangsari Ramadhani, S.ST., M.Tr.T",-
21,"Dian Hanifudin Subhi, S.Kom., M.Kom.",https://scholar.google.com/citations?user=pR2Dn7MAAAAJ
22,"Dika Rizky Yunianto, S.Kom, M.Kom",https://scholar.google.com/citations?hl=id&user=hI8GnCsAAAAJ
23,"Dimas Wahyu Wibowo, ST., MT.",https://scholar.google.com/citations?hl=id&user=QOfqf80AAAAJ
24,"Dodit Suprianto SKom. MT.",https://scholar.google.com/citations?hl=id&user=vpeg39oAAAAJ
25,"Dwi Puspitasari, S.Kom., M.Kom.",https://scholar.google.com/citations?hl=id&user=cUUacbsAAAAJ
26,"Eka Larasati Amalia, S.ST., MT.",https://scholar.google.com/citations?hl=id&user=Xd6qYYAAAAAJ
27,"Ekojono, ST., M.Kom.",https://scholar.google.com/citations?hl=id&user=VwPMszcAAAAJ
28,"Elok Nur Hamdana, S.T., M.T",https://scholar.google.com/citations?hl=id&user=cduv_fAAAAAJ
29,"Endah Septa Sintiya. SPd., MKom.",https://scholar.google.com/citations?hl=id&user=rTFTuCYAAAAJ
30,"Erfan Rohadi, ST., M.Eng., Ph.D.",https://scholar.google.com/citations?hl=id&user=i9ivLAkAAAAJ
31,"Farid Angga Pribadi, S.Kom., M.Kom",-
32,"Grezio Arifiyan P. S.Kom., M.Kom",-
33,"Gunawan Budi Prasetyo, ST., MMT., Ph.D.",https://scholar.google.com/citations?hl=id&user=sOigQO0AAAAJ
34,"Habibie Ed Dien, MT.",https://scholar.google.com/citations?hl=id&user=Gps_SrkAAAAJ
35,"Hendra Pradibta, SE., M.Sc.",https://scholar.google.co.id/citations?hl=id&user=XeFZX9kAAAAJ
36,"Ika Kusumaning Putri, MT.",https://scholar.google.com/citations?hl=id&user=3zwjnr0AAAAJ
37,"Imam Fahrur Rozi, ST., MT.",https://scholar.google.co.id/citations?hl=id&user=WwrDWnEAAAAJ
38,"Indra Dharma Wijaya, ST., M.MT.",https://scholar.google.com/citations?hl=id&user=qyMPi80AAAAJ
39,"Irsyad Arif Mashudi, M.Kom",https://scholar.google.com/citations?user=mxVOikUAAAAJ&hl=en
40,"Kadek Suarjuna Batubulan, S.Kom, MT",https://scholar.google.com/citations?hl=id&user=UkVZyQ0AAAAJ
41,"Luqman Affandi, S.Kom., MMSI",https://scholar.google.com/citations?hl=id&user=_FVUDowAAAAJ
42,"M. Hasyim Ratsanjani",https://scholar.google.com/citations?hl=id&user=9xxxZVsAAAAJ
43,"Mamluatul Hani'ah",https://scholar.google.com/citations?hl=id&user=z3yHGr0AAAAJ
44,"Meyti Eka Apriyani ST., MT.",https://scholar.google.com/citations?hl=id&user=oMpMXOYAAAAJ
45,"Milyun Ni'ma Shoumi",https://scholar.google.com/citations?hl=id&user=Y1pZtaEAAAAJ
46,"Moch. Zawaruddin Abdullah, S.ST., M.Kom",https://scholar.google.com/citations?hl=id&user=0uPC_KcAAAAJ
47,"Muhammad Afif Hendrawan.,S.Kom., MT",https://scholar.google.com/citations?user=aWHkGCMAAAAJ&hl=en
48,"Muhammad Shulhan Khairy, S.Kom, M.Kom",https://scholar.google.com/citations?user=Tt3qP24AAAAJ&hl=id
49,"Muhammad Unggul Pamenang, S.ST., M.T",-
50,"Mungki Astiningrum, ST., M.Kom.",https://scholar.google.com/citations?user=u88X1RIAAAAJ&hl=id
51,"Mustika Mentari, S.Kom., M.Kom",https://scholar.google.com/citations?hl=id&user=AZoM7TgAAAAJ
52,"Noprianto",https://scholar.google.com/citations?hl=id&user=LAYbyJ4AAAAJ
53,"Odhitya Desta Triswidrananta, S.Pd., M.Pd.",https://scholar.google.com/citations?hl=id&user=aM_V6DwAAAAJ
54,"Pramana Yoga Saputra, S.Kom., MMT.",https://scholar.google.com/citations?hl=id&user=-WHmEDkAAAAJ
55,"Putra Prima A., ST., M.Kom.",https://scholar.google.com/citations?hl=id&user=Wl99TE0AAAAJ
56,"Rakhmat Arianto, S.ST., M.Kom",https://scholar.google.com/citations?hl=id&user=aTvMZ20AAAAJ
57,"Rawansyah., Drs., M.Pd.",https://scholar.google.com/citations?hl=id&user=9b05gNMAAAAJ
58,"Retno Damayanti, S.Pd., M.T.",-
59,"Ridwan Rismanto, SST., M.Kom.",https://scholar.google.com/citations?hl=id&user=fJc_GegAAAAJ
60,"Rizky Ardiansyah, S.Kom., MT.",https://scholar.google.com/citations?hl=id&user=rbyO3Q0AAAAJ
61,"Rokhimatul Wakhidah",https://scholar.google.com/citations?hl=id&user=UOVG-wcAAAAJ
62,"Rosa Andrie Asmara, ST., MT., Dr. Eng.",https://scholar.google.com/citations?hl=id&user=ee7eWTAAAAAJ
63,"Rudy Ariyanto, ST., M.Cs.",https://scholar.google.co.id/citations?hl=id&user=gNEBMMEAAAAJ
64,"Septian Enggar Sukmana, S.Pd., M.T",https://scholar.google.com/citations?hl=id&user=077wlE8AAAAJ
65,"Sofyan Noor Arief, S.ST., M.Kom.",https://scholar.google.com/citations?hl=id&user=1WF3dAkAAAAJ
66,"Ulla Delfana Rosiani, ST., MT.",https://scholar.google.com/citations?hl=id&user=cDrlN20AAAAJ
67,"Usman Nurhasan, S.Kom., MT.",https://scholar.google.com/citations?user=PEaROTMAAAAJ&hl=id
68,"Very Sugiarto, S.Pd., M.Kom",-
69,"Vipkas Al Hadid Firdaus, ST,. MT",https://scholar.google.com/citations?hl=id&user=bDBxmbkAAAAJ
70,"Vivi Nur Wijayaningrum, S.Kom, M.Kom",https://scholar.google.co.id/citations?user=g-DSiNsAAAAJ&hl=en&oi=pll
71,"Vivin Ayu Lestari, S.Pd",https://scholar.google.com/citations?hl=id&user=2og3UP8AAAAJ
72,"Wilda Imama Sabilla",https://scholar.google.com/citations?hl=id&user=W4xRFkQAAAAJ
73,"Yoppy Yunhasnawa, S.ST., M.Sc.",https://scholar.google.com/citations?hl=id&user=A_KvRKUAAAAJ
74,"Yuri Ariyanto, S.Kom., M.Kom.",https://scholar.google.co.id/citations?hl=id&user=B7sSwwEAAAAJ
75,"Yushintia Pramitarini, S.ST., MT.",https://scholar.google.com/citations?hl=id&user=aCfhHI4AAAAJ
76,"Qonita",-







