No Bidang Penelitian,No Dosen,No Bidang,Persentase
1,1,14,33
2,2,30,33
3,3,31,25
4,4,3,25
5,5,5,21
6,6,37,18
7,7,5,50
8,8,19,13
9,9,3,10
10,10,23,9
11,13,28,23
12,14,5,16
13,15,25,11
14,17,30,21
15,19,31,20
16,21,30,25
17,22,4,31
18,23,31,29
19,24,37,20
20,25,31,27
21,26,31,32
22,27,31,19
23,28,7,18
24,29,38,20
25,30,28,19
26,33,33,50
27,35,5,16
28,36,30,40
29,37,7,22
30,38,37,11
31,39,2,33
32,40,4,13
33,41,30,13
34,42,3,50
35,43,3,20
36,44,38,57
37,45,28,22
38,46,3,20
39,47,25,50
40,48,36,18
41,50,25,10
42,51,31,30
43,53,35,100
44,54,4,21
45,55,7,12
46,56,7,17
47,57,35,16
48,59,7,14
49,60,31,100
50,61,37,33
51,62,23,13
52,63,31,42
53,64,25,16
54,65,34,100
55,66,23,22
56,67,38,19
57,69,20,100
58,70,6,18
59,71,31,18
60,72,3,25
61,73,3,17
62,74,14,13
63,75,3,20
