No Dosen,Nama Dosen,No Judul,Judul,Grup Riset,Nama Bidang,Nilai Prediksi,Deleted
1,"Ade Ismail, S.Kom., M.TI",1,Standarisasi Infrastruktur Jaringan Komputer Sekolah Berbasis Cisco Safe Concept Untuk Menunjang Sistem Informasi Sekolah,Computer Network,Penerapan Virtualisasi Jaringan,1.0556390421276197e-30,0
1,"Ade Ismail, S.Kom., M.TI",2,Desain dan Implementasi Tools System Administrator dengan Protokol SSH,Computer Network,Penerapan Teknologi Nirkabel,5.4855032546405776e-43,0
1,"Ade Ismail, S.Kom., M.TI",3,DESAIN DATA CENTER BERBASIS HYPER CONVERGED INFRASTRUCTURE DENGAN STANDAR TIA-942 UNTUK GREEN CAMPUS,Information System,Penerapan Sistem Informasi Geografis,3.5793000316463544e-25,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",4,Penggunaan Algoritma Multi Criteria Decision Making dengan Metode Topsis dalam Penempatan Karyawan,Information System,Penerapan Sistem Pendukung Keputusan,1.7839856219570217e-29,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",5,Sistem Pendukung Keputusan Penentuan Lokasi Pembangunan Peternakan Ayam Menggunakan Metode MOORA,Information System,Penerapan Sistem Pendukung Keputusan,6.74616244376288e-44,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",6,Komparasi Algoritma Multi Criteria Decision Making Dengan Metode AHP dan SAW dalam perangkingan calon karyawan,Information System,Penerapan Sistem Pendukung Keputusan,1.5030242845350527e-34,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",7,Perbandingan Metode TOPSIS dan SAW dalam Penempatan Karyawan,Information System,Penerapan Sistem Pendukung Keputusan,1.4395981826910542e-19,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",8,SMART GRID UNTUK EFISIENSI KONSUMSI LISTRIK PADA PROSES PRODUKSI DI INDUSTRI MANUFAKTUR,Information System,Penerapan Pembelajaran Elektronik pada Sistem Informasi,2.4839532455838333e-22,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",9,Sistem Informasi Peramalan Jumlah Pengunjung Menggunakan Metode Double Exponential Smoothing Studi Kasus Body Gym Kota Malang,Information System,Penerapan Sistem Peramalan,4.294440169749214e-64,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",10,Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,Sistem Cerdas,Penerapan Penambangan Teks,3.3412936375329296e-69,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",11,Identifikasi Kualitas Strawberry Berdasarkan Warna dan Tekstur Dengan Menggunakan Gray Level Co-Occurrence Matrix dan Naive Bayes,Computer Vision,Penerapan Morfologi Citra Digital,1.0657520720544134e-50,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",12,PEMBUATAN APLIKASI PELAYANAN LAUNDRY BERBASIS ANDROID STUDI KASUS DI BERSIH LAUNDRY,Multimedia dan Game,Multimedia,9.509261747039677e-30,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",13,SISTEM INFORMASI BODY GYM KOTA MALANG DENGAN PERAMALAN JUMLAH PENGUNJUNG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,Information System,Penerapan Sistem Peramalan,9.454360776947288e-51,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",14,ANALISIS PERAMALAN TERHADAP PELUANG BISNIS TANAH UNTUK PT JNF DI KOTA MALANG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,Information System,Penerapan Sistem Peramalan,8.021729668075932e-82,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",15,PERBANDINGAN METODE FTS DAN MA PADA PERAMALAN PERSEDIAAN BERAS,Information System,Penerapan Sistem Peramalan,1.3203067208191522e-37,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",16,SPKK Penyakit Paru-Paru Guna Membantu Proses Anamnesa Berbasis Mobile,Sistem Cerdas,Penerapan Sistem Pakar,1.7944746308253976e-39,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",17,Perbandingan Metode FTS Dan MA pada Peramalan Persediaan Beras di Kabupaten Malang,Information System,Penerapan Sistem Peramalan,8.224516939856575e-27,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",18,SISTEM PELAYANAN KESEHATAN TERPADU BERBASIS IOT PADA FASILITAS KESEHATAN,Information System,Penerapan Customer Relationship Management,3.8342151385671124e-45,0
3,"Ahmadi Yuli Ananta, ST., M.M.",19,Pembuatan Sistem Pakar Diagnosa Penyakit Pada Burung Puyuh Dengan Menggunakan Metode Forward Chaining,Sistem Cerdas,Penerapan Sistem Pakar,6.250715485934302e-22,0
3,"Ahmadi Yuli Ananta, ST., M.M.",20,Seleksi Notifikasi Serangan Berbasis Ids Snort Menggunakan Metode K-Means,Computer Network,Penerapan IT Forensik pada Jaringan,3.157766300411563e-28,0
3,"Ahmadi Yuli Ananta, ST., M.M.",21,Rancang Bangun Sistem Pendukung Keputusan Kelayakan Pemberian Kredit Menggunakan Metode Profile Matching,Information System,Penerapan Sistem Pendukung Keputusan,5.131554891715172e-29,0
3,"Ahmadi Yuli Ananta, ST., M.M.",22,Pengembangan Sistem Otomatisasi AC dan Lampu Menggunakan Fuzzy dan Raspberry Pi,Computer Network,Penerapan IoT,1.822155150325065e-70,0
3,"Ahmadi Yuli Ananta, ST., M.M.",23,Sistem Pendukung Keputusan Dengan Menerapkan Logika Fuzzy Dalam Menentukan Prioritas Calon Debitur,Information System,Penerapan Sistem Pendukung Keputusan,2.310580076348155e-19,0
3,"Ahmadi Yuli Ananta, ST., M.M.",24,Perancangan Sistem Penjualan Buku Secara Online Berbasis Web Dengan Menggunakan Kartu Kredit,Information System,Penerapan Customer Relationship Management,2.6240695601020323e-58,0
3,"Ahmadi Yuli Ananta, ST., M.M.",25,Implementasi Game Kuis Tebak Tangga Nada Jawa Dengan Metode Fisher-Yates Shuffle dan Fuzzy Tsukamoto Berbasis Android,Sistem Cerdas,Penerapan Kecerdasan Buatan,1.0446573053431769e-29,0
3,"Ahmadi Yuli Ananta, ST., M.M.",26,Implementasi Naive Bayes Dan Pos Tagging Menggunakan Metode Hidden Markov Model Viterbi Pada Analisa Sentimen Terhadap Akun Twitter Presiden Joko Widodo Di Saat Pandemi COVID-19,Sistem Cerdas,Penerapan Penambangan Teks,2.4771201273564252e-95,0
3,"Ahmadi Yuli Ananta, ST., M.M.",27,Sistem Informasi Peramalan Jumlah Produksi Ikan pada Dinas Perikanan Kab Malang Menggunakan Metode SARIMA,Information System,Penerapan Sistem Peramalan,5.0975288726695894e-51,0
3,"Ahmadi Yuli Ananta, ST., M.M.",28,DESAIN SISTEM SMART ATTENDANCE MENGGUNAKAN KOMBINASI SMART CARD DAN SIDIK JARI,Sistem Cerdas,Penerapan Smart Living,5.0431119282076016e-39,0
3,"Ahmadi Yuli Ananta, ST., M.M.",29,SISTEM PENDUKUNG KEPUTUSAN SOLUSI KELAYAKAN PENERIMA BANTUAN BEDAH RUMAH MENGGUNAKAN METODE PROFILE MATCHING,Information System,Penerapan Sistem Pendukung Keputusan,9.076857463535658e-55,0
3,"Ahmadi Yuli Ananta, ST., M.M.",30,SISTEM PENDUKUNG KEPUTUSAN REKOMENDASI PEMBELIAN MOBIL KELUARGA DENGAN METODE TOPSIS DAN MOORA,Information System,Penerapan Sistem Pendukung Keputusan,6.13777935491975e-50,0
3,"Ahmadi Yuli Ananta, ST., M.M.",31,SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN DOSEN BERPRESTASI JURUSAN TEKNOLOGI INFORMASI DI POLITEKNIK NEGERI MALANG,Information System,Penerapan Sistem Pendukung Keputusan,1.326616992922549e-29,0
3,"Ahmadi Yuli Ananta, ST., M.M.",32,PENGEMBANGAN SISTEM INFORMASI PEMESANAN JASA TOUR & TRAVEL DI CV CAHAYA TRAVEL BERBASIS WEBSITE,Information System,Penerapan Customer Relationship Management,8.0093018475214365e-56,0
3,"Ahmadi Yuli Ananta, ST., M.M.",33,SISTEM INFORMASI PENGELOLAAN DATA KUNJUNGAN BEROBAT POLIKLINIK BERBASIS WEB DI POLITEKNIK NEGERI MALANG,Information System,Penerapan Sistem Informasi Geografis,4.544813399818117e-58,0
3,"Ahmadi Yuli Ananta, ST., M.M.",34,SISTEM PERAMALAN DAN PEMANTAUAN JUMLAH PRODUKSI IKAN BERBASIS WEB DENGAN METODE Seasonal Autoregressive Integrated Moving Average SARIMASTUDI KASUS DINAS PERIKANAN KAB MALANG,Information System,Penerapan Sistem Peramalan,4.652555120967879e-94,0
3,"Ahmadi Yuli Ananta, ST., M.M.",35,SISTEM INFORMASI PERAMALAN PENJUALAN BARANG DENGAN METODE DOUBLE EXPONENTIAL SMOOTHING STUDI KASUS ISTANA SAYUR,Information System,Penerapan Sistem Peramalan,1.5933206834554786e-55,0
3,"Ahmadi Yuli Ananta, ST., M.M.",36,SISTEM PENGGAJIAN ONLINE DOSEN KONTRAK/LUAR BIASA BERBASIS WEBSITE STUDI KASUS POLITEKNIK NEGERI MALANG,Information System,Penerapan Pembelajaran Elektronik pada Sistem Informasi,1.545845134824358e-56,0
