No Judul,No Dosen,No Bidang,Judul,Nilai Prediksi
1,1,14,Standarisasi Infrastruktur Jaringan Komputer Sekolah Berbasis Cisco Safe Concept Untuk Menunjang Sistem Informasi Sekolah,1.0556390421276197e-30
2,1,28,DESAIN DATA CENTER BERBASIS HYPER CONVERGED INFRASTRUCTURE DENGAN STANDAR TIA-942 UNTUK GREEN CAMPUS,3.5793000316463544e-25
3,1,16,Desain dan Implementasi Tools System Administrator dengan Protokol SSH,5.4855032546405776e-43
4,2,31,Penggunaan Algoritma Multi Criteria Decision Making dengan Metode Topsis dalam Penempatan Karyawan,1.7839856219570217e-29
5,2,31,Sistem Pendukung Keputusan Penentuan Lokasi Pembangunan Peternakan Ayam Menggunakan Metode MOORA,6.74616244376288e-44
6,2,31,Komparasi Algoritma Multi Criteria Decision Making Dengan Metode AHP dan SAW dalam perangkingan calon karyawan,1.5030242845350527e-34
7,2,31,Perbandingan Metode TOPSIS dan SAW dalam Penempatan Karyawan,1.4395981826910542e-19
8,2,34,Smart Grid Untuk Efisiensi Konsumsi Listrik Pada Proses Produksi Di Industri Manufaktur,2.4839532455838333e-22
9,2,30,Sistem Informasi Peramalan Jumlah Pengunjung Menggunakan Metode Double Exponential Smoothing Studi Kasus Body Gym Kota Malang,4.294440169749214e-64
10,2,7,Sistem Pakar Klasifikasi Kecanduan Gadget Menggunakan Teori Arthurt T Hovart Dengan Metode Naive Bayes Classifier Untuk Anak Sekolah Dasar,3.3412936375329296e-69
11,2,25,Identifikasi Kualitas Strawberry Berdasarkan Warna dan Tekstur Dengan Menggunakan Gray Level Co-Occurrence Matrix dan Naive Bayes,1.0657520720544134e-50
12,2,37,PEMBUATAN APLIKASI PELAYANAN LAUNDRY BERBASIS ANDROID STUDI KASUS DI BERSIH LAUNDRY,9.509261747039677e-30
13,2,30,SISTEM INFORMASI BODY GYM KOTA MALANG DENGAN PERAMALAN JUMLAH PENGUNJUNG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,9.454360776947288e-51
14,2,30,ANALISIS PERAMALAN TERHADAP PELUANG BISNIS TANAH UNTUK PT JNF DI KOTA MALANG MENGGUNAKAN METODE DOUBLE EXPONENTIAL SMOOTHING,8.021729668075932e-82
15,2,30,PERBANDINGAN METODE FTS DAN MA PADA PERAMALAN PERSEDIAAN BERAS,1.3203067208191522e-37
16,2,5,SPKK Penyakit Paru-Paru Guna Membantu Proses Anamnesa Berbasis Mobile,1.7944746308253976e-39
17,2,30,Perbandingan Metode FTS Dan MA pada Peramalan Persediaan Beras di Kabupaten Malang,8.224516939856575e-27
18,2,33,SISTEM PELAYANAN KESEHATAN TERPADU BERBASIS IOT PADA FASILITAS KESEHATAN,3.8342151385671124e-45
19,3,5,Pembuatan Sistem Pakar Diagnosa Penyakit Pada Burung Puyuh Dengan Menggunakan Metode Forward Chaining,6.250715485934302e-22
20,3,17,Seleksi Notifikasi Serangan Berbasis Ids Snort Menggunakan Metode K-Means,3.157766300411563e-28
21,3,31,Rancang Bangun Sistem Pendukung Keputusan Kelayakan Pemberian Kredit Menggunakan Metode Profile Matching,5.131554891715172e-29
22,3,7,Implementasi Naive Bayes Dan Pos Tagging Menggunakan Metode Hidden Markov Model Viterbi Pada Analisa Sentimen Terhadap Akun Twitter Presiden Joko Widodo Di Saat Pandemi COVID-19,2.477120127356425e-95
23,3,11,Pengembangan Sistem Otomatisasi AC dan Lampu Menggunakan Fuzzy dan Raspberry Pi,1.822155150325065e-70
24,3,31,Sistem Pendukung Keputusan Dengan Menerapkan Logika Fuzzy Dalam Menentukan Prioritas Calon Debitur,2.310580076348155e-19
25,3,33,Perancangan Sistem Penjualan Buku Secara Online Berbasis Web Dengan Menggunakan Kartu Kredit,2.6240695601020326e-58
26,3,2,Implementasi Game Kuis Tebak Tangga Nada Jawa Dengan Metode Fisher-Yates Shuffle dan Fuzzy Tsukamoto Berbasis Android,1.0446573053431769e-29
27,3,30,Sistem Informasi Peramalan Jumlah Produksi Ikan pada Dinas Perikanan Kab Malang Menggunakan Metode SARIMA,5.097528872669589e-51
28,3,9,DESAIN SISTEM SMART ATTENDANCE MENGGUNAKAN KOMBINASI SMART CARD DAN SIDIK JARI,5.0431119282076016e-39
29,3,31,SISTEM PENDUKUNG KEPUTUSAN SOLUSI KELAYAKAN PENERIMA BANTUAN BEDAH RUMAH MENGGUNAKAN METODE PROFILE MATCHING,9.076857463535658e-55
30,3,31,SISTEM PENDUKUNG KEPUTUSAN REKOMENDASI PEMBELIAN MOBIL KELUARGA DENGAN METODE TOPSIS DAN MOORA,6.13777935491975e-50
31,3,31,SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN DOSEN BERPRESTASI JURUSAN TEKNOLOGI INFORMASI DI POLITEKNIK NEGERI MALANG,1.326616992922549e-29
32,3,33,PENGEMBANGAN SISTEM INFORMASI PEMESANAN JASA TOUR & TRAVEL DI CV CAHAYA TRAVEL BERBASIS WEBSITE,8.009301847521437e-56
33,3,28,SISTEM INFORMASI PENGELOLAAN DATA KUNJUNGAN BEROBAT POLIKLINIK BERBASIS WEB DI POLITEKNIK NEGERI MALANG,4.544813399818117e-58
34,3,30,SISTEM PERAMALAN DAN PEMANTAUAN JUMLAH PRODUKSI IKAN BERBASIS WEB DENGAN METODE Seasonal Autoregressive Integrated Moving Average SARIMASTUDI KASUS DINAS PERIKANAN KAB MALANG,4.652555120967879e-94
35,3,30,SISTEM INFORMASI PERAMALAN PENJUALAN BARANG DENGAN METODE DOUBLE EXPONENTIAL SMOOTHING STUDI KASUS ISTANA SAYUR,1.5933206834554786e-55
36,3,34,SISTEM PENGGAJIAN ONLINE DOSEN KONTRAK/LUAR BIASA BERBASIS WEBSITE STUDI KASUS POLITEKNIK NEGERI MALANG,1.545845134824358e-56
37,3,5,SPKK Penyakit Paru-Paru Guna Membantu Proses Anamnesa Berbasis Mobile,1.7944746308253976e-39
38,3,31,Implementasi Metode VIKOR pada Sistem Pendukung Keputusan Penerima Beasiswa PPA Studi Kasus Politeknik Negeri Malang,1.4825243617110154e-58
39,3,3,IMPLEMENTASI ANALISA KERANJANG BELANJA GUNA MENENTUKAN PAKET PRODUK DENGAN ALGORITMA FP-GROWTH,9.958173224773989e-34
40,3,30,IMPLEMENTASI METODE TIME SERIES UNTUK MERAMALKAN PENJUALAN DAN PRODUKSI STUDI KASUS TOKO GERAI PRINT DI SIDOARJO,9.753779331090435e-32
41,3,3,IMPLEMENTASI ALGORITMA APRIORI PADA PENGELOLAAN PERSEDIAAN OBAT STUDI KASUS DI APOTEK INA NUSANTARA KABUPATEN SITUBONDO,4.1625263752614845e-31
42,3,36,GAME EDUKASI “SUPRIJADI DON’T LOSS YOUR TOWER” BERBASIS ANDROID,8.524210064517621e-23
43,3,36,RANCANG BANGUN GAME FIGHTING 2D “THE HISTORY OF GAJAH MADA” BERBASIS ANDROID,6.147887518569654e-47
44,3,36,RANCANG BANGUN GAME EDUKASI “SAVIOR OF PHOTOSYNTHESIS” 2D DENGAN FUZZY,1.046886132715709e-40
45,3,31,SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN TUMBUHAN HERBAL UNTUK OBAT PENYAKIT DALAM DENGAN MENGGUNAKAN METODE AHP,1.122224655443796e-26
46,3,28,PENCARIAN JALUR TERPENDEK UNTUK PENJEMPUTAN BARANG KIRIMAN PELANGGAN MITRA STUDI KASUS PADA KANTOR POS MALANG,3.176570232928204e-118
47,4,3,Spatio Temporal Clustering Titik Panas pada Lahan Gambut di Sumatera Menggunakan Proses Pengelompokan Poisson,7.207144448168e-22
48,4,20,Perangkat Desa Melek Digital dan Kreatif Pelatihan Pengembangan Konten Digital Desa Ngijo Kabupaten Malang,9.275728652809606e-163
49,4,7,Implementasi Naive Bayes Dan Pos Tagging Menggunakan Metode Hidden Markov Model Viterbi Pada Analisa Sentimen Terhadap Akun Twitter Presiden Joko Widodo Di Saat Pandemi COVID-19,2.477120127356425e-95
50,4,34,PENGEMBANGAN SISTEM INFORMASI ALUMNI BERBASIS WEB FAKULTAS SAINS DAN TEKNOLOGI UNIVERSITAS ISLAM NEGERI MAULANA MALIK IBRAHIM MALANG,4.138817630971102e-35
51,4,3,Improvisasi Teknik Oversampling MWMOTE Untuk Penanganan Data Tidak Seimbang,1.9125740538486674e-48
52,4,31,Sistem Pendukung Keputusan Berbasis Website Dalam Menentukan Kelayakan Pembuatan Sertifikat Tanah Menggunakan Metode Analytic Network Process ANP,1.233824228164176e-79
53,4,5,Sistem Pakar Diagnosa Penyakit Kelamin Menular Pada Laki-laki Dengan Metode Dempster Shafer,1.0094743214896275e-34
54,4,6,SPATIO-TEMPORAL DATA MINING PADA DATA HOTSPOT SEBAGAI INDIKATOR KEBAKARAN HUTAN DAN LAHAN GAMBUT DI PROVINSI RIAU,5.5955712327024174e-30
55,5,7,Analisis Sentimen Pada Twitter Mengenai Pasca Bencana Menggunakan Metode Naive Bayes Dengan Fitur N-Gram,1.8388032559915927e-61
56,5,3,Penerapa Metode Hierarchical Clustering dan K-means Clustering untuk Mengelompokkan Potensi Lokasi Penjualan LINKAJA,1.5480594395174166e-51
57,5,3,PENGEMBANGAN SISTEM ANALISA KEBERPIHAKAN MEDIA ONLINE BERDASARKAN TREND WAKTU MENGGUNAKAN NAIVE BAYES CLASSIFIER,4.6533290046027507e-32
58,5,5,Implementasi Backward Chaining untuk Diagnosis Low Soft Handover Success Rate pada Jaringan WCDMA,9.458626734962014e-21
59,5,6,Penentuan Bahan Makanan Untuk Itik Petelur Menggunakan Algoritma Genetika,5.886191551378623e-39
60,5,31,Sistem Pendukung Keputusan Penerima Kredit UKM Menggunakan Metode Weighted Aggregated Sum Product Assessment Studi Kasus BANK BPR Jatim Cabang Magetan,5.075580971673067e-89
61,5,31,SISTEM PENDUKUNG KEPUTUSAN SOLUSI KELAYAKAN PENERIMA BANTUAN BEDAH RUMAH MENGGUNAKAN METODE PROFILE MATCHING,9.076857463535658e-55
62,5,18,Aplikasi Android dengan Online First Approach dan Local Database Cache,2.1243233915274185e-42
63,5,6,PENENTUAN BAHAN MAKANAN UNTUK ITIK PETELUR MENGGUNAKAN ALGORITMA GENETIKA,5.886191551378623e-39
64,5,38,APLIKASI PENGHITUNG KOLONI BAKTERI BERBASIS ANDROID,3.2049604238009144e-26
65,5,30,SISTEM INFORMASI PERAMALAN PENJUALAN KAYU UNTUK MEBEL DENGAN METODE TREND MOMENT di UD MAULANA JATI JEPARA,8.20857714902731e-39
66,5,5,SISTEM PAKAR DIAGNOSA PENYAKIT AYAM PULLET MENGGUNAKAN METODE DEMPSTER SHAFER,7.88451329449016e-35
67,5,5,SISTEM PAKAR DIAGNOSIS PENYAKIT SAPI MENGGUNAKAN FUZZY INFERENCE TSUKAMOTO,2.03573841959268e-40
68,5,31,Pengembangan Sistem Pendukung Keputusan Pengolahan Pelanggaran Santri Menggunakan metode fuzzy AHP studi kasus pondok pesantren nurul islam antirogo sumbersari jember,2.328866406394625e-85
69,5,2,IMPLEMENTASI METODE FUZZY DAN FSM PADA GAME LEGEND OF DAMARWULAN,3.979289103064834e-29
