Judul,Skalabilitas dan Analitik Data,Penerapan Kecerdasan Buatan,Penerapan Data Besar,Penerapan Information Retrieval,Penerapan Sistem Pakar,Penerapan Penambangan Data,Penerapan Penambangan Teks,Penerapan Intelijen Bisnis,Penerapan Smart Living,Penerapan Komputasi Awan,Penerapan IoT,Penerapan Keamanan Data,Penerapan Keamanan Cyber,Penerapan Virtualisasi Jaringan,Penerapan Teknologi Jaringan,Penerapan Teknologi Nirkabel,Penerapan IT Forensik pada Jaringan,Penerapan Enkripsi,Penerapan Pengenalan Pola,Penerapan Watermarking pada Citra,Penerapan Kompresi Citra,Penerapan Pengolahan Citra,Penerapan Transformasi Citra,Penerapan Filtering Citra,Penerapan Morfologi Citra Digital,Integrasi Sistem dan Arsitektur,Penerapan Manajemen Informasi,Penerapan Sistem Informasi Geografis,Penerapan Global Professional Practice,Penerapan Sistem Peramalan,Penerapan Sistem Pendukung Keputusan,Penerapan Bisnis Elektronik Sistem Informasi,Penerapan Customer Relationship Management,Penerapan Pembelajaran Elektronik pada Sistem Informasi,Computational Thinking,Pengembangan Game,Multimedia,Penerapan Augmented Reality
 RENCANA PEMBELAJARAN SEMESTER RPS,8.154191442230204e-13,8.917092972653528e-13,4.1277739570629073e-13,9.13990419169525e-13,9.775954233682911e-13,1.3643161608374837e-12,4.034582796430024e-12,2.699168918849272e-12,2.2114733809920447e-12,1.3640359328270897e-12,1.3013234388764289e-12,4.4843699649420186e-13,4.263107837716764e-13,2.8500280778550044e-12,7.383332617060334e-12,4.2211720037861054e-13,4.1751003090202063e-13,4.489574634509047e-13,4.0398400227403734e-13,4.5110715610519337e-13,4.883294392466615e-13,3.6584352426753924e-12,4.4813717952335386e-13,4.621661712226632e-13,4.2921187968311113e-13,9.990380958864125e-12,3.9604737908650054e-13,9.389733980042478e-13,9.925899709173916e-12,4.499652878122622e-13,7.110381296781416e-12,1.3433509237976046e-12,4.3134965462894964e-13,1.1172126381626503e-11,2.390443144129468e-11,4.257181139180845e-12,1.4301845307441893e-11,1.0070481496552766e-11
 Pengaruh likuiditas dan solvabilitas terhadap profitabilitas studi kasus pada perusahaan subsektor telekomunikasi yang terdaftar di Jakarta Islamic …,1.0436362269145111e-34,1.1240925628301235e-37,1.484797020998438e-33,1.54229778844468e-36,3.8201578251388466e-38,1.254425101252439e-35,2.5292935195150863e-36,5.6364596257386254e-36,2.575737856238744e-35,1.0518182267902387e-35,1.1641634122491059e-35,3.350938900549547e-38,1.5978596618468805e-34,6.259921566458523e-37,4.876874604097381e-34,1.1473797130600827e-36,5.174830259349937e-36,1.6349711813324e-36,1.7275197741458286e-36,3.41791124239758e-38,3.103627395037521e-36,4.2893416334464026e-38,6.3413922979090295e-37,3.705290283174481e-38,1.7504791352222753e-37,9.319148698625108e-36,3.475786078591761e-35,4.245488259430833e-36,1.6563350407878977e-34,1.013773659258311e-37,7.259647464909365e-35,1.763391439962849e-34,5.894685655162617e-35,2.516350231041467e-35,1.0853089320970711e-36,6.408589794777832e-37,2.036622596837473e-35,4.401531713962745e-37
PENGARUH PROFITABILITAS SOLVABILITAS DAN UKURAN PERUSAHAAN TERHADAP AUDIT DELAY DENGAN REPUTASI KAP SEBAGAI PEMODERASI,7.676081958369262e-24,3.7092190889261986e-26,2.395392947439977e-25,1.0649149973387494e-26,6.211952249086805e-27,4.70283809772345e-26,1.1191090289446733e-26,1.6299370941783276e-26,5.94417482324069e-26,2.5441919381005003e-26,2.7696339377006033e-25,1.4551894580300343e-26,1.0340404003868814e-25,2.621835184836557e-26,6.799832838611874e-26,1.1221058192232718e-26,2.77294453085541e-26,2.857388969934989e-26,3.097432051235959e-26,7.09827366674089e-27,5.360906484520442e-26,5.3293879022173024e-27,1.9633771874403704e-27,4.810380734359743e-27,1.77532897439148e-27,3.896683748242995e-27,1.3189916028919653e-26,1.433538710499618e-26,8.806619134090324e-26,3.8960420208744935e-26,1.4404712945308689e-25,5.469329900431298e-24,4.394679452241907e-25,3.1492221367248347e-25,2.019215467552196e-26,1.3616118488174175e-26,7.568923661638064e-26,1.2239034736423536e-25
Implementasi Perangkat Internet Gateway Device Untuk Menghubungkan Infrastruktur IoT Dan Aplikasi Cloud Menggunakan Narrowband Internet of Things NB-IoT,4.687226941099601e-43,9.38406596025879e-44,1.9195190097898236e-44,2.26344783507132e-44,1.2958243513111619e-44,4.1493288877410634e-43,1.0098077702797865e-44,6.364372975831602e-43,1.6139227327693423e-43,9.224281375320267e-39,5.04865810441055e-37,2.821218953530217e-43,1.118766324336897e-40,5.814860993921531e-42,2.24386120413259e-42,3.3657559201791925e-42,4.374745472980706e-43,1.779512274807235e-44,4.377206577623551e-45,1.2432442471052628e-43,2.847958196405202e-44,5.960831462654877e-45,7.269428268181636e-44,1.143192011384391e-44,2.285584938652248e-44,4.3722592804991475e-44,6.736451932384759e-45,1.1028657555702271e-44,9.189612606584086e-44,1.3468006139933637e-44,1.179727693104852e-44,4.300289964282033e-43,1.68559163439156e-43,6.572006707980512e-42,5.502387076913347e-44,2.710207063436619e-44,1.7386684654515234e-44,3.776917327347062e-44
Penilaian Kinerja Sekolah Menengah Pertama SMP Dengan Pendekatan Balanced Scorecard Kajian di SMP N 01 Bandar Sei Kijang Pelalawan,2.767602200294904e-42,5.02437427981579e-45,2.7057083330750665e-44,8.572643887744717e-45,2.5968943773896317e-45,2.2362517965930234e-44,2.14408028534351e-41,4.763715043075054e-45,5.184966097310392e-45,4.193167892431195e-44,1.5159408439214363e-45,1.7882760309798716e-43,1.6196155901015435e-44,1.9516737690162008e-42,2.3833474212409035e-42,1.556821680036145e-44,1.6673180288522053e-45,6.230784488228085e-45,1.4615290754891912e-45,6.350981002421689e-45,8.300840521901893e-45,1.0272576971547225e-43,5.887275356899764e-45,2.5034758388822373e-45,6.583597566689726e-45,1.7015207155623862e-43,2.9719896391879823e-44,1.24107192449384e-42,6.349215415188718e-44,1.9226490830684652e-44,2.926606512179724e-44,4.075693296471057e-44,4.3936761190543955e-44,1.4475458016741084e-42,3.112609490852676e-41,6.1161344361838145e-43,2.7394352486510724e-43,2.9202895702148157e-44
Sistem Keamanan Jaringan Komputer dan Data Dengan Menggunakan Metode Port Knocking,2.508199117152558e-21,1.7269317995930223e-21,4.771445813408246e-21,1.081157187463731e-21,3.260214208343461e-21,4.357782254950314e-21,2.8530104724959203e-21,1.2310679029788296e-20,4.237836110405266e-22,1.3604258253609137e-21,9.690515283599685e-22,2.0204046988531935e-19,1.2042812220431257e-19,1.9187021369554395e-20,1.267207018929042e-19,1.8850028647553516e-20,1.1456195437191432e-18,7.910894497699256e-20,8.709655699291612e-21,1.977068994502439e-21,3.109687341176179e-22,1.296428183067223e-22,4.452614132369945e-21,2.437724459645108e-22,1.949264978767085e-21,2.522146552357314e-21,2.6204601947814293e-21,1.2535989285111485e-21,4.220104764692633e-21,2.4282523849866916e-20,2.771591040779964e-21,1.4475965186307962e-20,3.8807333916162997e-22,1.62378277319287e-20,5.350901109604575e-23,4.507559300874095e-23,3.3742050225425774e-21,7.541364423216951e-22
Perancangan Arsitektur Dan Purwarupa Model Pembelajaran Massive Open Online Course MOOCS Di Perguruan Tinggi Menggunakan Layanan Mobile,4.74518014822243e-36,3.84722717250858e-37,1.8285994222772824e-37,1.5754525722884043e-35,4.048348694594175e-37,5.950576276156798e-37,4.177618816831487e-36,4.821044040862459e-34,1.3005080989916335e-36,1.8259102151417443e-33,5.757913769749961e-36,1.528751591081208e-36,2.719212938105713e-37,1.7182533964067215e-34,7.663358638950238e-35,1.0362713258423899e-34,1.0470502188177276e-36,3.6009612360493363e-37,5.565242378215924e-38,3.5139731718638555e-37,4.4518249733316e-38,7.642916875421797e-37,9.280242050053891e-38,8.714932696989543e-38,6.810452550649699e-38,6.386592136656081e-33,8.55113711213482e-36,2.3323700902474758e-35,5.706022729785457e-34,7.971380955408756e-38,1.0400003491776116e-35,4.445384728971343e-35,6.015151855565908e-34,2.5010530200535e-34,5.173344607406589e-36,8.681224855451993e-36,2.2031348337309752e-35,3.189817175031841e-35
Machine Learning Untuk Estimasi Posisi Objek Berbasis RSS Fingerprint Menggunakan IEEE 80211 g Pada Lantai 3 Gedung JTETI UGM,6.667206189969077e-41,6.505359951342239e-43,5.692939214097829e-44,2.843342210947714e-44,1.215286282480682e-44,2.2438623779864254e-44,1.5797798542577257e-43,3.72209145748896e-44,2.9432150523832616e-45,1.6644492435622076e-44,1.0069965700123914e-43,1.3650542550373527e-44,1.8913030140129958e-44,3.5562444599048365e-44,4.691275408195421e-44,6.02542710233324e-44,3.9840221303170134e-44,1.3714025578970954e-44,2.7839503888332107e-44,7.289288823394199e-45,5.416771583306361e-45,1.678115947019827e-43,2.9355912245179927e-44,2.5034758388822373e-45,1.2525438833280542e-43,4.312661213571724e-45,7.579716341981417e-45,1.002330852048135e-43,7.786805693896668e-44,5.374896835436669e-44,2.991134054942389e-45,3.137310280607132e-44,2.0074124252536184e-44,6.1150500063326085e-43,9.968080166124641e-44,2.397269807186283e-43,6.738542990129144e-43,2.2886875270426603e-42
 Data Warehouse,8.209819785624348e-08,4.850610420645821e-09,5.443201123523327e-08,3.3207657965325025e-09,1.7889136744840098e-09,1.8010753951551808e-07,9.26024617011019e-09,3.86152036294422e-08,1.6662019992249495e-09,9.631257873829542e-09,3.175079370319666e-09,3.78360871209004e-08,4.8572143385485345e-09,6.578940992785623e-09,3.326060933685054e-09,1.6737637862934522e-09,7.918705325950945e-09,2.473031201137932e-08,7.74674066852168e-09,6.6908983106302155e-09,5.31755095975179e-09,1.83084361707102e-09,1.7418581522041198e-09,1.7780238009324573e-09,3.285845693490884e-09,7.978782740503542e-09,4.6245323142724695e-09,3.3810065386321865e-09,1.6618502907654703e-09,8.323939478966778e-09,1.6706929173272055e-09,4.815718777003068e-09,4.895413251833143e-09,1.6848060332300646e-09,1.6369680696062654e-09,1.7098536261047902e-09,4.825534169688946e-09,1.776202374413479e-09
Aplikasi Manajemen Data dan Aplikasi Katalog Pemasaran Bisnis Properti Berbasis Android Menggunakan Firebase Realtime Database Studi Kasus PT Ditama …,1.4263871021080389e-50,2.471351021441327e-52,2.2812572866452634e-51,1.2110548927312895e-49,1.2361282461140466e-53,3.6745775661769943e-51,1.2226369056236827e-50,1.2076149859449969e-48,1.935604216993281e-52,8.760989908718761e-48,9.086976731205534e-53,1.0740371472892433e-50,1.8903061338431383e-51,2.123666158635794e-51,2.86696890788824e-51,2.14308692350044e-51,2.2515316573380336e-50,6.878373702539866e-50,1.692964325832394e-52,7.616951171095218e-54,4.1531977690960226e-53,2.184944807265906e-55,1.036789669516385e-52,4.357769126272736e-55,1.8118684410914913e-54,1.693205105171931e-50,3.769569587546994e-49,3.1159675525291143e-51,1.0889121251169166e-51,5.236386215001748e-53,2.138501106995443e-52,3.604367826939957e-49,1.3936170639935433e-49,3.3238139003441134e-52,5.376053466835e-54,1.573935832372004e-51,9.645805969250389e-51,5.895110990742043e-50
