Judul,Nama Bidang,Nilai Prediksi
 RENCANA PEMBELAJARAN SEMESTER RPS,Computational Thinking,2.390443144129468e-11
 Pengaruh likuiditas dan solvabilitas terhadap profitabilitas studi kasus pada perusahaan subsektor telekomunikasi yang terdaftar di Jakarta Islamic …,Penerapan Data Besar,1.4847970209984379e-33
PENGARUH PROFITABILITAS SOLVABILITAS DAN UKURAN PERUSAHAAN TERHADAP AUDIT DELAY DENGAN REPUTASI KAP SEBAGAI PEMODERASI,Skalabilitas dan Analitik Data,7.676081958369263e-24
Implementasi Perangkat Internet Gateway Device Untuk Menghubungkan Infrastruktur IoT Dan Aplikasi Cloud Menggunakan Narrowband Internet of Things NB-IoT,Penerapan IoT,5.04865810441055e-37
Penilaian Kinerja Sekolah Menengah Pertama SMP Dengan Pendekatan Balanced Scorecard Kajian di SMP N 01 Bandar Sei Kijang Pelalawan,Computational Thinking,3.112609490852676e-41
Sistem Keamanan Jaringan Komputer dan Data Dengan Menggunakan Metode Port Knocking,Penerapan IT Forensik pada Jaringan,1.1456195437191432e-18
Perancangan Arsitektur Dan Purwarupa Model Pembelajaran Massive Open Online Course MOOCS Di Perguruan Tinggi Menggunakan Layanan Mobile,Integrasi Sistem dan Arsitektur,6.386592136656081e-33
Machine Learning Untuk Estimasi Posisi Objek Berbasis RSS Fingerprint Menggunakan IEEE 80211 g Pada Lantai 3 Gedung JTETI UGM,Skalabilitas dan Analitik Data,6.667206189969077e-41
 Data Warehouse,Penerapan Penambangan Data,1.801075395155181e-07
Aplikasi Manajemen Data dan Aplikasi Katalog Pemasaran Bisnis Properti Berbasis Android Menggunakan Firebase Realtime Database Studi Kasus PT Ditama …,Penerapan Komputasi Awan,8.760989908718761e-48
Penerapan Kecerdasan Buatan Pada Game “Air Strike Stta” Berbasis Client Server Pada Android,Penerapan Kecerdasan Buatan,9.479005108644942e-30
 Penerapan Algoritma K-Nearest Neighbor K-NN untuk Prediksi Waktu Kelulusan Mahasiswa,Penerapan Data Besar,3.5925016282412935e-43
Penerapan Metode Clustering Dengan Algoritma K-Means Untuk Rekomendasi Pemilihan Jalur Peminatan Sesuai Kemampuan Pada Progam Studi Teknik …,Penerapan Data Besar,1.602190920654007e-38
PENERAPAN METODE BACKWARD CHAINING PADA SISTEM PAKAR UNTUK MENDETEKSI PENYAKIT TANAMAN JAGUNG,Penerapan Sistem Pakar,4.639672286879295e-24
Penerapan Algoritma Backtracking Dalam Game Pencaria Kata Menggunakan Aksara Batak Toba,Penerapan Kecerdasan Buatan,2.8734856555296115e-14
Penerapan metode text mining pada aplikasi chatbot,Penerapan Penambangan Teks,6.789247745547068e-16
 Implementasi Algoritma Minimax Pada Permainan Tic-Tac-Toe Skala 9x9,Penerapan Kecerdasan Buatan,8.023619824873535e-14
"Penerapan Metode Finite State Machine Pada Game Turn-Based RPG"" Heroes of Dawn"" Berbasis Desktop",Penerapan Kecerdasan Buatan,6.701709150190198e-27
PENERAPAN METODE WASPAS DALAM MENENTUKAN PEMILIHAN PEMINATAN PADA PROGRAM STUDI TEKNIK INFORMATIKA,Penerapan Data Besar,2.116039562688672e-24
 PENERAPAN KECERDASAN BUATAN ARTIFICIAL INTELLIGENCE DALAM RESUSITASI JANTUNG PARU PASIEN GAWAT DARURAT BERBASIS SISTEM …,Penerapan Kecerdasan Buatan,3.25525249409971e-25
 Penerapan Data Mining dengan Metode Klasifikasi Naive Bayes untuk Memprediksi Kelulusan Mahasiswa dalam Mengikuti English Proficiency Test,Penerapan Data Besar,2.61993663076376e-29
Penerapan Data Mining Penentu Minat Dan Bakat Siswa Smk Dengan Metode C4 5,Penerapan Penambangan Data,9.928532621339376e-31
Penerapan Data Mining Menggunkan Algoritma K-Means Clustring Pada Penerimaan Mahasiswa Baru,Penerapan Data Besar,1.266804583250404e-37
Penerapan Data Mining Untuk Evaluasi Kinerja Akademik Mahasiswa Menggunakan Algoritma Naive Bayes Classifier,Penerapan Data Besar,1.9464474540234024e-30
Penerapan k-means clustering pada data penerimaan mahasiswa baru studi kasus universitas potensi utama,Penerapan Data Besar,7.914379175778195e-33
Penerapan Metode Profile Matching pada Sistem Pendukung Keputusan Pemilihan Ketua Program Studi STUDI Kasus Program Studi Teknik Informatika STMIK …,Penerapan Sistem Pendukung Keputusan,1.110511673913984e-46
Penerapan Data Mining dengan Metode Interpolasi untuk Memprediksi Minat Konsumen Asuransi Studi Kasus Asuransi Metlife,Penerapan Data Besar,2.214687750446348e-33
Penerapan Algoritma Apriori Dalam Pengendalian Kualitas Produk,Penerapan Penambangan Data,4.5742149190173816e-17
Penerapan Algoritma Naïve Bayes Untuk Mengklasifikasi Data Nasabah Asuransi,Penerapan Penambangan Data,4.6694216565148684e-24
Perbandingan Metode Data Mining Untuk Prediksi Nilai Dan Waktu Kelulusan Mahasiswa Prodi Teknik Informatika Dengan Algoritma C4 5 Naïve Bayes Knn Dan …,Penerapan Data Besar,1.28461855484615e-56
Pemanfaatan Vector Space Model pada Penerapan Algoritma Nazief Adriani KNN dan Fungsi Similarity Cosine untuk Pembobotan IDF dan WIDF pada Prototipe …,Penerapan Information Retrieval,1.800170946117457e-32
Penerapan Algoritma Stemming Nazief & Adriani dan Similarity pada Penerimaan Judul Thesis,Penerapan Information Retrieval,1.5484825208771494e-17
PENERAPAN ALGORITMA LATENT SEMANTIC INDEXING PADA CONTENT BASED IMAGE RETRIEVAL SYSTEM,Penerapan Information Retrieval,1.4614559960606883e-27
Penerapan Sentiment Analysis Pada Hasil Evaluasi Dosen Dengan Metode Support Vector Machine,Penerapan Penambangan Teks,5.406008604030392e-29
Aplikasi Teknologi Informasi Konsep dan Penerapan,Penerapan Manajemen Informasi,5.421813835300494e-13
Implementasi dan Perbandingan Metode Okapi BM25 Dan Plsa Pada Aplikasi Information Retrieval,Penerapan Information Retrieval,7.896122008523473e-22
PENERAPAN MESIN PENCARI INFORMASI DENGAN MENGGUNAKAN METODE VECTOR SPACE MODEL,Penerapan Information Retrieval,2.6254170798810767e-21
Penerapan Clustering pada Aplikasi Pendeteksi Kemiripan Dokumen Teks Bahasa Indonesia,Penerapan Information Retrieval,7.329155457939745e-25
 Metode penelitian teknik informatika,Penerapan Manajemen Informasi,2.878605831606396e-13
