kata,df
analisis,129
simulasi,11
sistem,439
tunjang,6
putus,70
model,78
matematis,1
dekat,16
goodness-of,1
fit,3
bas,314
structural,1
equation,1
visualisasi,2
peta,3
rss,2
fingerprint,2
fase,1
offline,1
localization,1
lantai,2
3,13
gedung,6
teknik,202
elektro,6
ugm,2
wlan,5
pengaruh,17
profitabilitas,3
solvabilitas,2
ukur,23
usaha,24
hadap,48
audit,6
delay,1
reputasi,1
kap,1
bagai,95
pemoderasi,1
machine,25
learning,38
estimasi,3
posisi,3
objek,11
ieee,1
80211,1
g,1
jteti,1
layak,4
cloud,50
computing,44
metode,495
ranti,1
s,2
generic,1
is,1
it,2
bussiness,1
value,12
badan,4
batam,5
tambang,9
proses,29
yang,15
dukung,80
nilai,26
perangkat,11
lunak,7
cobit4,1
1,19
leverage,1
status,2
rata,1
volume,2
dagang,2
saham,2
rasio,1
uang,6
financial,2
distress,1
struktur,2
milik,2
variabel,1
moderasi,1
manajemen,40
risiko,6
biaya,4
rumah,31
kpr,1
griya,1
ib,1
hasanah,1
bank,4
bni,1
syariah,2
konsep,38
cerdas,23
buat,34
paham,5
logika,9
fuzzy,33
aplikasi,174
game,78
air,10
strike,2
stta,2
client,7
server,40
android,86
survey,2
paper,3
tantang,5
peluang,2
bidang,11
islam,11
qur,2
an,4
hadits,2
algoritma,247
fisher-yates,1
shuffle,1
cocok,2
gambar,12
monumen,2
dunia,5
finite,10
state,13
battle,5
augmented,53
reality,56
text,12
mining,94
chatbot,6
memory,3
volatile,1
forensik,33
deteksi,45
malware,1
banding,32
template,2
matching,11
feature,2
extraction,2
optical,1
character,2
recognition,3
backtracking,1
pencaria,1
kata,5
aksara,6
batak,2
toba,1
minimax,3
main,11
tic-tac-toe,1
skala,3
9x9,1
turn-based,1
rpg,4
heroes,1
of,90
dawn,1
desktop,5
artificial,7
intelligence,5
resusitasi,1
jantung,1
paru,3
pasien,8
gawat,1
darurat,1
filtering,13
sms,7
spam,1
immune,1
system,39
ais,1
tokenization,2
with,2
vectors,1
a,10
star,2
tualang,2
labirin,2
selesai,4
geser,1
angka,3
bintang,2
david,1
cari,18
breadth-first,1
pandemic,1
nightmare,1
bentuk,10
perilaku,5
non,3
player,3
phantom,1
assasin,1
alphabeta,1
pruning,3
pawn,2
line,2
sight,1
tembak,1
tikus,1
sawah,1
merespon,1
emosi,1
teks,30
tik-tak,1
rough,2
set,2
tentu,53
beli,9
smartphone,7
oleh,5
konsumen,9
computer,6
aided,1
instructure,1
cai,1
fsm,2
juang,2
pangeran,1
diponegoro,2
dreadman,1
ambil,5
alpha,2
beta,2
clustering,39
k-means,32
rekomendasi,6
pilih,36
jalur,4
minat,8
sesuai,5
mampu,13
progam,2
studi,186
extreme,4
elm,1
amal,38
laju,3
inflasi,2
indonesia,52
genetika,5
jadwal,10
kuliah,15
website,15
kembang,84
adventure,6
satria,2
garuda,1
logic,2
charakter,1
finding,2
chiko,1
tic,1
tac,1
toe,1
war,1
astraghoul,1
negamax,1
othello,1
trapped,1
miners,1
algorithma,1
c45,2
data,197
strategi,24
promosi,7
prodi,12
informatika,142
upgris,1
prediksi,37
kriteria,3
nasabah,5
kredit,5
pola,48
fp-growth,5
transaksi,8
jual,57
spare,1
part,1
motor,3
mahasiswa,87
dasar,42
akademik,26
weka,2
interface,5
kasus,147
jurus,42
umm,2
study,6
pt,53
indomarco,1
palembang,6
asosiasi,2
apriori,32
analisa,43
belanja,4
toko,22
buku,20
gramedia,2
bintaro,2
na,16
ve,16
bayes,39
klasifikasi,61
asuransi,4
k-mean,4
tingkat,102
tepat,6
kelulus,22
program,58
market,5
basket,2
analysis,20
produk,19
oase,2
anak,16
rapor,1
nearest,2
neighbor,13
jumlah,8
daftar,5
terima,23
siswa,48
baru,24
lalu,22
bisnis,18
intelegent,1
olap,7
online,15
analyctical,1
process,11
kelompok,10
cyber,1
crime,1
electronic,3
commerce,3
crisp-dm,1
tempuh,1
mata,34
universitas,89
xyz,11
profile,9
ketua,6
stmik,25
backpropagation,18
amik-stikom,1
tunas,1
bangsa,3
pematangsiantar,2
tahu,9
skripsi,14
multimedia,58
didik,34
komputer,46
likuiditas,1
subsektor,1
telekomunikasi,3
jakarta,12
islamic,1
k-nearest,13
k-nn,2
waktu,8
waspas,1
naive,21
ikut,1
english,3
proficiency,1
test,1
gun,2
clustring,2
evaluasi,22
kerja,40
classifier,8
potensi,9
utama,2
interpolasi,4
metlife,1
c4,19
5,26
knn,4
rekam,3
jejak,2
dosen,13
stt,2
harap,6
medan,8
kalsifikasi,2
decision,15
tree,12
regresi,6
fp-tree,1
obat,12
fakultas,28
ilmu,9
hirarki,2
divisive,2
media,72
world,2
pekanbaru,6
classification-decission,1
c,25
45,3
sakit,58
diabetes,5
rapid,4
miner,1
resiko,5
bpr,1
bukittandang,1
mandiri,3
padang,5
informasi,258
real-time,1
log,5
honeypot,5
serang,13
distributed,2
denial,2
service,39
sekolahmenengah,1
juru,3
eoq,2
rop,2
pd,1
lulus,4
telkom,4
kunjung,2
wisatawan,1
wisata,9
unggul,3
prov,1
dki,4
sedia,5
sparepart,1
bengkel,3
sinar,1
unjung,3
kabupaten,39
karo,2
calon,9
muhammadiyah,11
yogyakarta,19
hasil,30
business,3
intelegence,1
potensial,2
drop,1
out,1
bibit,1
sawit,2
baik,24
technic,1
single,12
linkage,1
hias,2
emas,1
prestasi,7
matematika,8
linear,8
sma,18
kesatrian,1
customer,54
behaviour,1
artpedia,1
lama,4
uin,12
sunan,4
kalijaga,2
pakai,6
langgan,15
pdam,5
tirta,5
raharja,3
analis,4
puas,13
politeknik,9
lp3i,1
mungkin,1
kubikasi,1
gudang,3
bm,2
database,11
pradnya,1
paramita,1
delphi,1
bencana,6
gempa,1
bumi,4
pulau,3
malu,1
bmkg,1
wit,1
duduk,2
miskin,2
miwada,1
industrial,1
untung,1
software,10
rapidminer,1
saran,1
kueri,1
barang,11
situs,3
inkuiri,1
com,3
supermarket,2
sejahtera,3
lhokseumawe,3
pustaka,8
dwi,1
tunggal,1
tanjung,2
morawa,1
adaboost,1
ketidakseimbangan,1
kelas,22
forecasting,4
derita,3
demam,2
darah,4
dengue,1
sragen,2
surat,4
jalan,2
transportasi,1
mobil,8
angkut,1
cluestering,1
klastering,1
strata,2
satu,7
minta,4
kartu,3
perdana,1
internet,61
c5,1
0,1
vidha,1
ponsel,1
html,10
historis,1
teknilogi,1
jenis,12
alumni,3
teknologi,135
respati,1
semen,3
kosmetik,1
identifikasi,16
melitus,1
argumen,1
tentang,6
bijak,2
zonasi,3
sekolah,33
nusantara,7
temu,11
kembali,11
kumpul,3
dokumen,25
information,26
retrieval,19
topik,5
ruang,11
baca,2
deskripsi,1
portal,4
web,88
scraping,3
mesin,7
artikel,2
ilmiah,4
monitoring,30
isu,1
publik,3
rocchio,1
relevance,1
feedback,1
referensi,1
tugas,12
akhir,12
rancang,55
terjemah,1
al,3
vektor,2
document,9
management,70
jabar,4
telematika,4
jatel,4
cosine,21
similarity,10
bobot,4
tf-idf,8
manfaat,25
vector,26
space,8
nazief,2
adriani,2
fungsi,1
idf,1
widf,1
prototipe,9
stemming,3
judul,2
thesis,1
latent,2
semantic,4
indexing,2
content,1
based,21
image,11
okapi,2
bm25,2
plsa,1
mirip,2
bahasa,14
generalized,1
ringkas,2
konten,8
halaman,2
hybrid,15
hidden,1
markov,1
method,8
kamus,3
porter,1
kurang,4
salah,2
multithreading,1
gvsm,1
kitab,2
undang,1
hukum,1
guru,34
tinggi,20
knearest,1
geographic,2
question,2
answering,2
rule-based,1
agama,2
tengah,16
pertama,5
term,5
frequency,7
inverse,2
e,3
laut,1
bengkulu,1
seo,1
sematik,1
anarkis,1
rabin,1
karp,1
layan,45
sehat,12
vsm,2
webgis,1
bangun,77
balik,5
sepak,2
bola,2
kualitas,38
sentimen,6
keshahihan,1
buah,11
piano,1
composer,1
java,3
applet,1
ayat,1
al-quran,1
perhati,1
majemuk,1
prinsip,2
pareto,1
bantu,11
hafal,1
juz,1
sentiment,2
twitter,4
sampel,1
dashboard,3
key,3
performance,1
indicator,1
