No Dosen,Nama Dosen,No Grup Riset 1,Kecenderungan Grup Riset 1,Jumlah Grup Riset 1,Persentase Grup Riset 1,No Grup Riset 2,Kecenderungan Grup Riset 2,Jumlah Grup Riset 2,Persentase Grup Riset 2,Deleted
1,"Ade Ismail, S.Kom., M.TI",2,Computer Network,2,66,4,Information System,1,33,0
2,"Agung Nugroho Pramudhita, S.T., M.T.",4,Information System,11,73,1,Sistem Cerdas,2,13,0
3,"Ahmadi Yuli Ananta, ST., M.M.",4,Information System,16,57,1,Sistem Cerdas,7,25,0
4,"Annisa Puspa Kirana., M.Kom",1,Sistem Cerdas,5,62,4,Information System,2,25,0
5,"Annisa Taufika Firdausi, ST., MT.",1,Sistem Cerdas,10,52,4,Information System,5,26,0
6,"Anugrah Nur Rahmanto, S.Sn., M.Ds.",5,Multimedia dan Game,7,43,1,Sistem Cerdas,4,25,0
7,"Ariadi Retno Ririd, S.Kom., M.Kom.",1,Sistem Cerdas,2,100,1,Sistem Cerdas,2,100,0
8,"Arie Rachmad Syulistyo, S.Kom., M.Kom",4,Information System,5,33,3,Computer Vision,4,26,0
9,"Arief Prasetyo, S.Kom., M.Kom.",1,Sistem Cerdas,22,46,4,Information System,11,23,0
10,"Arwin Sumari ST., MT., DR.",4,Information System,14,45,3,Computer Vision,7,22,0
13,"Banni Satria Andoko, S. Kom., M.MSI",4,Information System,7,53,1,Sistem Cerdas,3,23,0
14,"Budi Harijanto, ST., M.MKom.",4,Information System,18,41,1,Sistem Cerdas,13,30,0
15,"Cahya Rahmad, ST., M.Kom., Dr. Eng.",3,Computer Vision,17,32,1,Sistem Cerdas,12,22,0
17,"Dhebys Suryani, S.Kom., MT",4,Information System,9,47,2,Computer Network,5,26,0
19,"Deddy Kusbianto PA, Ir., M.Mkom.",4,Information System,47,68,1,Sistem Cerdas,9,13,0
21,"Dian Hanifudin Subhi, S.Kom., M.Kom.",1,Sistem Cerdas,6,50,4,Information System,4,33,0
22,"Dika Rizky Yunianto, S.Kom, M.Kom",1,Sistem Cerdas,9,56,4,Information System,6,37,0
23,"Dimas Wahyu Wibowo, ST., MT.",4,Information System,19,46,5,Multimedia dan Game,9,21,0
24,Dodit Suprianto SKom. MT.,4,Information System,5,33,5,Multimedia dan Game,3,20,0
25,"Dwi Puspitasari, S.Kom., M.Kom.",4,Information System,17,51,1,Sistem Cerdas,9,27,0
26,"Eka Larasati Amalia, S.ST., MT.",4,Information System,30,61,1,Sistem Cerdas,10,20,0
27,"Ekojono, ST., M.Kom.",4,Information System,20,42,1,Sistem Cerdas,12,25,0
28,"Elok Nur Hamdana, S.T., M.T",1,Sistem Cerdas,10,45,4,Information System,8,36,0
29,"Endah Septa Sintiya. SPd., MKom.",1,Sistem Cerdas,3,60,5,Multimedia dan Game,2,40,0
30,"Erfan Rohadi, ST., M.Eng., Ph.D.",4,Information System,22,47,2,Computer Network,12,26,0
33,"Gunawan Budi Prasetyo, ST., MMT., Ph.D.",4,Information System,5,83,1,Sistem Cerdas,1,16,0
35,"Hendra Pradibta, SE., M.Sc.",4,Information System,17,45,1,Sistem Cerdas,12,32,0
36,"Ika Kusumaning Putri, MT.",1,Sistem Cerdas,2,40,5,Multimedia dan Game,1,20,0
37,"Imam Fahrur Rozi, ST., MT.",1,Sistem Cerdas,35,60,4,Information System,18,31,0
